row,abbrev,team,conference,active_qb,confidence,baseline_value,active_value,last_update,tier1,verification_status
26,MICH,Michigan,Big Ten,Bryce Underwood,H,0,0,2026-07-21,False,verified 7A-7D
27,MSU,Michigan State,Big Ten,Alessio Milivojevic,M,0,0,2026-08-03,True,VERIFIED 7D.3
28,MINN,Minnesota,Big Ten,Drake Lindsey,M,0,0,2026-08-03,True,VERIFIED 7D.3
29,NEB,Nebraska,Big Ten,Anthony Colandrea,L,,,2026-07-21,True,verified 7A-7D
30,NW,Northwestern,Big Ten,Aidan Chiles,H,0,0,2026-07-21,False,H-coded (tier 2)
31,OHST,Ohio State,Big Ten,Julian Sayin,H,0,0,2026-07-21,False,H-coded (tier 2)
32,ORE,Oregon,Big Ten,Dante Moore,H,0,0,2026-07-21,False,H-coded (tier 2)
33,PSU,Penn State,Big Ten,Rocco Becht,H,0,0,2026-07-21,False,verified 7A-7D
34,PUR,Purdue,Big Ten,Ryan Browne,M,0,0,2026-08-03,True,VERIFIED 7D.3
35,RUTG,Rutgers,Big Ten,Dylan Lonergan (likely starter; AJ Surace competing),M,,,2026-08-03,True,VERIFIED 7D.3
36,UCLA,UCLA,Big Ten,Nico Iamaleava,H,0,0,2026-07-21,False,H-coded (tier 2)
37,USC,USC,Big Ten,Jayden Maiava,H,0,0,2026-07-21,False,H-coded (tier 2)
38,WASH,Washington,Big Ten,Demond Williams Jr.,H,0,0,2026-07-21,False,H-coded (tier 2)
39,WISC,Wisconsin,Big Ten,Colton Joseph,M,0,0,2026-08-03,True,VERIFIED 7D.3
40,ARIZ,Arizona,Big 12,Noah Fifita,H,0,0,2026-07-21,False,H-coded (tier 2)
41,AZST,Arizona State,Big 12,Cutter Boley,M,0,0,2026-08-03,True,VERIFIED 7D.3
42,BAY,Baylor,Big 12,DJ Lagway,H,0,0,2026-07-21,False,H-coded (tier 2)
43,BYU,BYU,Big 12,Bear Bachmeier,H,0,0,2026-07-21,False,H-coded (tier 2)
44,CIN,Cincinnati,Big 12,JC French IV,H,0,0,2026-07-21,False,H-coded (tier 2)
45,COLO,Colorado,Big 12,Julian Lewis,H,0,0,2026-07-21,False,H-coded (tier 2)
46,HOU,Houston,Big 12,Conner Weigman,H,0,0,2026-08-03,False,VERIFIED 7D.3A
47,ISU,Iowa State,Big 12,Jaylen Raynor,H,0,0,2026-07-21,False,H-coded (tier 2)
48,KAN,Kansas,Big 12,Cole Ballard (leader; Isaiah Marshall competing),L,,,2026-08-03,True,VERIFIED 7D.3A
49,KSU,Kansas State,Big 12,Avery Johnson,H,0,0,2026-07-21,False,H-coded (tier 2)
50,OKST,Oklahoma State,Big 12,Drew Mestemaker,H,0,0,2026-07-21,False,H-coded (tier 2)
51,TCU,TCU,Big 12,Jaden Craig,H,0,0,2026-07-21,False,H-coded (tier 2)
52,TTU,Texas Tech,Big 12,Will Hammond,M,,,2026-08-03,True,verified 7A-7D
53,UCF,UCF,Big 12,Alonza Barnett III,H,0,0,2026-07-21,False,H-coded (tier 2)
54,UTAH,Utah,Big 12,Devon Dampier,H,0,0,2026-07-21,False,H-coded (tier 2)
55,WVU,West Virginia,Big 12,Michael Hawkins Jr.,M,0,0,2026-08-03,True,VERIFIED 7D.3
56,BC,Boston College,ACC,Mason McKenzie,H,0,0,2026-07-21,False,H-coded (tier 2)
57,CAL,California,ACC,Jaron-Keawe Sagapolutele,H,0,0,2026-07-21,False,H-coded (tier 2)
58,CLEM,Clemson,ACC,Christopher Vizzina,H,0,0,2026-07-21,False,verified 7A-7D
59,DUKE,Duke,ACC,Walker Eget (expected Week 1 starter; 5-way competition),M,0,0,2026-08-03,True,VERIFIED 7D.3A
60,FSU,Florida State,ACC,Ashton Daniels,H,0,0,2026-07-21,False,H-coded (tier 2)
61,GT,Georgia Tech,ACC,Alberto Mendoza,H,0,0,2026-07-21,False,H-coded (tier 2)
62,LOU,Louisville,ACC,Lincoln Kienholz,H,0,0,2026-07-21,False,H-coded (tier 2)
63,MIA,Miami,ACC,Darian Mensah,H,0,0,2026-07-21,False,verified 7A-7D
64,NCST,NC State,ACC,CJ Bailey,H,0,0,2026-07-21,False,H-coded (tier 2)
65,UNC,North Carolina,ACC,Billy Edwards Jr.,M,,,2026-07-21,True,verified 7A-7D
66,PITT,Pittsburgh,ACC,Mason Heintschel,H,0,0,2026-07-21,False,H-coded (tier 2)
67,SMU,SMU,ACC,Kevin Jennings,H,0,0,2026-07-21,False,H-coded (tier 2)
68,STAN,Stanford,ACC,Davis Warren,L,,,2026-07-21,True,verified 7A-7D
69,SYR,Syracuse,ACC,Steve Angeli,L,,,2026-07-21,True,verified 7A-7D
70,UVA,Virginia,ACC,Beau Pribula,M,0,0,2026-08-03,True,VERIFIED 7D.3
71,VT,Virginia Tech,ACC,Ethan Grunkemeyer,H,0,0,2026-07-21,False,H-coded (tier 2)
72,WAKE,Wake Forest,ACC,Gio Lopez,M,0,0,2026-08-03,True,VERIFIED 7D.3
73,BSU,Boise State,Pac-12,Maddux Madsen,H,0,0,2026-07-21,False,H-coded (tier 2)
74,CSU,Colorado State,Pac-12,Hauss Hejny (K'saan Farrar competing),L,,,2026-08-03,True,VERIFIED 7D.4
75,FRES,Fresno State,Pac-12,Open (three-way battle into August),L,,,2026-08-03,True,VERIFIED 7D.4
76,ORST,Oregon State,Pac-12,Maalik Murphy (leader; Braden Atkinson pushing),M,,,2026-08-03,True,VERIFIED 7D.4
77,SDSU,San Diego State,Pac-12,Jayden Denegal,H,0,0,2026-07-21,False,H-coded (tier 2)
78,TXST,Texas State,Pac-12,Brad Jackson,M,0,0,2026-07-21,True,NOT VERIFIED (backlog)
79,USU,Utah State,Pac-12,McCae Hillstead,M,0,0,2026-08-03,True,VERIFIED 7D.4
80,WSU,Washington State,Pac-12,Caden Pinnick,M,0,0,2026-07-21,True,NOT VERIFIED (backlog)
81,ARMY,Army,American,Cale Hellums,H,0,0,2026-07-21,False,H-coded (tier 2)
82,CLT,Charlotte,American,Grayson Loftis,H,0,0,2026-07-21,False,verified 7A-7D
83,ECU,East Carolina,American,Chaston Ditta,M,0,0,2026-08-03,True,VERIFIED 7D.4
84,FAU,Florida Atlantic,American,Caden Veltkamp,M,0,0,2026-07-21,True,verified 7A-7D
85,MEM,Memphis,American,Marcus Stokes,L,,,2026-07-21,True,verified 7A-7D
86,NAVY,Navy,American,Braxton Woodson,M,0,0,2026-08-03,True,VERIFIED 7D.4
87,UNT,North Texas,American,Tayven Jackson,M,0,0,2026-07-21,True,NOT VERIFIED (backlog)
88,RICE,Rice,American,Jacurri Brown,M,0,0,2026-08-03,True,VERIFIED 7D.4
89,USF,South Florida,American,OPEN (Kromenhoek / Van Buren Jr. / Cooper),L,,,2026-07-21,True,verified 7A-7D
90,TEM,Temple,American,Jaxon Smolik (inside track; Ajani Sheppard competing),M,0,0,2026-08-03,True,VERIFIED 7D.4
91,TULN,Tulane,American,Kadin Semonza,L,,,2026-07-21,True,verified 7A-7D
92,TLSA,Tulsa,American,Baylor Hayes,M,0,0,2026-08-03,True,VERIFIED 7D.4
93,UAB,UAB,American,Ryder Burton,H,0,0,2026-07-21,False,H-coded (tier 2)
94,UTSA,UTSA,American,Owen McCown,H,0,0,2026-07-21,False,verified 7A-7D
95,DEL,Delaware,Conference USA,Nick Minicucci,H,0,0,2026-07-21,False,H-coded (tier 2)
96,FIU,FIU,Conference USA,JJ Kohl,M,0,0,2026-08-03,True,VERIFIED 7D.4
97,JVST,Jacksonville State,Conference USA,Caden Creel,H,0,0,2026-07-21,False,H-coded (tier 2)
98,KENN,Kennesaw State,Conference USA,Rickie Collins (leader; Landon Varnes competing),M,0,0,2026-08-03,True,VERIFIED 7D.4
99,LIB,Liberty,Conference USA,Open (Purdie / Jaylen Henderson / Ethan Vasko),L,,,2026-08-03,True,VERIFIED 7D.2
100,MTSU,Middle Tennessee,Conference USA,Roman Gagliano,M,0,0,2026-08-03,True,VERIFIED 7D.2
101,MOST,Missouri State,Conference USA,Open competition (new HC Casey Woods),L,,,2026-08-03,True,VERIFIED 7D.4
102,NMSU,New Mexico State,Conference USA,Open competition,L,,,2026-08-03,True,VERIFIED 7D.4
103,SHSU,Sam Houston,Conference USA,Landyn Locke,M,0,0,2026-08-03,True,VERIFIED 7D.2
104,WKU,Western Kentucky,Conference USA,Rodney Tisdale Jr.,M,0,0,2026-08-03,True,VERIFIED 7D.2
105,AKR,Akron,MAC,Open (Reese Poffenbarger / Brayden Roggow),L,,,2026-08-03,True,VERIFIED 7D.1
106,BALL,Ball State,MAC,Keldric Luster,L,,,2026-07-21,True,VERIFIED 7D.1
107,BGSU,Bowling Green,MAC,Austin Novosad,M,0,0,2026-08-03,True,VERIFIED 7D.2
108,BUFF,Buffalo,MAC,Open (Jason Wright / Mason Cumbie / Elijah Holmes),L,,,2026-08-03,True,VERIFIED 7D.4
109,CMU,Central Michigan,MAC,Open (Flores / Beamon / Glasser),L,,,2026-07-21,True,VERIFIED 7D.1
110,EMU,Eastern Michigan,MAC,Noah Kim,H,0,0,2026-07-21,False,H-coded (tier 2)
111,KENT,Kent State,MAC,Dru DeShields,H,0,0,2026-07-21,False,H-coded (tier 2)
112,M-OH,Miami (OH),MAC,Open (David McComb / Thomas Gotkowski / Caleb Heavner),L,,,2026-08-03,True,VERIFIED 7D.4
113,OHIO,Ohio,MAC,Nick Poulos (leader; not yet named),M,,,2026-08-03,True,VERIFIED 7D.2
114,SAC,Sacramento State,MAC,Carson Conklin,M,0,0,2026-08-03,True,VERIFIED 7D.4
115,TOL,Toledo,MAC,John Alan Richter,M,0,0,2026-07-21,True,VERIFIED 7D.1
116,MASS,UMass,MAC,William 'Pop' Watson,M,0,0,2026-08-03,True,VERIFIED 7D.2
117,WMU,Western Michigan,MAC,Broc Lowry,M,0,0,2026-07-21,True,VERIFIED 7D.1
118,AFA,Air Force,Mountain West,Liam Szarka,H,0,0,2026-07-21,False,H-coded (tier 2)
119,HAW,Hawai'i,Mountain West,Micah Alejado,H,0,0,2026-07-21,False,H-coded (tier 2)
120,NEV,Nevada,Mountain West,Open competition (fall camp),L,,,2026-08-03,True,VERIFIED 7D.4
121,UNM,New Mexico,Mountain West,Jack Layne,H,0,0,2026-07-21,False,H-coded (tier 2)
122,NDSU,North Dakota State,Mountain West,Nathan Hayes,M,0,0,2026-08-03,True,VERIFIED 7D.4
123,NIU,Northern Illinois,Mountain West,Taron Dickens (Western Carolina transfer),M,,,2026-08-03,True,VERIFIED 7D.4
124,SJSU,San José State,Mountain West,Open (three-way; starter not selected),L,,,2026-08-03,True,VERIFIED 7D.4
125,UNLV,UNLV,Mountain West,Jackson Arnold,M,0,0,2026-07-21,True,verified 7A-7D
126,UTEP,UTEP,Mountain West,EJ Colson,H,0,0,2026-08-03,False,VERIFIED 7D.4
127,WYO,Wyoming,Mountain West,Tyler Hughes,M,0,0,2026-08-03,True,VERIFIED 7D.4
128,APP,Appalachian State,Sun Belt,Open (Malachi Singleton / Hasselbeck),L,,,2026-08-03,True,VERIFIED 7D.4
129,ARST,Arkansas State,Sun Belt,Open (Owens / Dickey / St. Hilare / Haly),L,,,2026-08-03,True,VERIFIED 7D.4
130,CCU,Coastal Carolina,Sun Belt,Open (Deuce Bailey among candidates),L,,,2026-08-03,True,VERIFIED 7D.4
131,GASO,Georgia Southern,Sun Belt,Open (Weston Bryan / Turner Helton),L,,,2026-07-21,True,NOT VERIFIED (backlog)
132,GAST,Georgia State,Sun Belt,Cameran Brown,H,0,0,2026-07-21,False,H-coded (tier 2)
133,JMU,James Madison,Sun Belt,Arrington Maiden,M,0,0,2026-08-03,True,VERIFIED 7D.4
134,ULL,Louisiana,Sun Belt,Lunch Winfield,H,0,0,2026-07-21,False,H-coded (tier 2)
135,LT,Louisiana Tech,Sun Belt,Blake Baker,H,0,0,2026-07-21,False,H-coded (tier 2)
136,MRSH,Marshall,Sun Belt,Carlos Del Rio-Wilson,H,0,0,2026-07-21,False,H-coded (tier 2)
137,ODU,Old Dominion,Sun Belt,Quinn Henicle,M,0,0,2026-07-21,True,NOT VERIFIED (backlog)
138,USA,South Alabama,Sun Belt,Bishop Davenport,H,0,0,2026-07-21,False,H-coded (tier 2)
139,USM,Southern Miss,Sun Belt,Open (White / Hampton / Lyddy),L,,,2026-07-21,True,verified 7A-7D
140,TROY,Troy,Sun Belt,Goose Crowder,H,0,0,2026-07-21,False,H-coded (tier 2)
141,ULM,ULM,Sun Belt,Aidan Armenta,H,0,0,2026-07-21,False,H-coded (tier 2)
142,ND,Notre Dame,Independent,CJ Carr,H,0,0,2026-07-21,False,H-coded (tier 2)
143,CONN,UConn,Independent,Unverified (room in flux after HC departure),L,,,2026-08-03,True,VERIFIED 7D.3A
