sheet,cell,classification,old,new
QB VALUES,I69,QB DATA — ACTIVATION (SYR),"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",Syracuse Athletics official camp preview 2026-08-04; position review 2026-08-17; per authoritative research update 2026-08-19. Corroborated: Spectrum Local News / AP 2026-08-19 (https://spectrumlocalnews.com/nys/central-ny/news/2026/08/19/with-qb-steve-angeli-healthy--fran-brown-coached-syracuse-seeks-to-rebound-from-3-9-season)
QB VALUES,K69,QB DATA — ACTIVATION (SYR),2026-08-04 00:00:00,2026-08-24 00:00:00
QB VALUES,L69,QB DATA — ACTIVATION (SYR),"VERIFIED 7D.5 2026-08-04: Steve Angeli (Notre Dame transfer) says he is 'FULL GO' with 'no restrictions' ahead of training camp after the 2025 ACHILLES injury that ended his season - but the same reporting frames it as 'ANOTHER QB BATTLE', and Syracuse overhauled the room in the offseason (incl. Kennesaw State transfer Amari Odom). A quarterback returning from an Achilles tear into an acknowledged battle is not a settled job -> L retained; values blank; UNCERTAIN. RECHECK: Syracuse depth chart or a Fran Brown naming.","2026-08-24 ACTIVATED (RETAINED QB1), confidence H. Angeli's 2025 starting job carried into 2026: the official Syracuse Athletics camp preview (2026-08-04) has him healthy and returning, and the 2026-08-17 position review records that the starting job has remained his with the live competition being for the BACKUP role. Qualifies under the governing rule's 'unequivocally retained incumbent' clause; absence of a new annual depth chart is not a reversal. CORRECTS the 2026-08-24 Rev 1 review, which classified this UNRESOLVED because it applied a formal-naming test and lacked the official team source. HEALTH MONITOR (separate from competition status): post-Achilles recovery from the 2025 season; monitor availability, not the job. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change."
QB VALUES,E75,QB DATA — RECORD CORRECTION (FRES),Open (three-way battle into August),Open (Khristian Martin / Jayden Mandal)
QB VALUES,I75,QB DATA — RECORD CORRECTION (FRES),Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),"Authoritative research update 2026-08-19; 247Sports fall-camp report, August 2026 (https://247sports.com/college/fresno-state/article/fresno-state-quarterback-battle-unfolding-at-fall-camp-updates-from-qbs-khristian-martin-jayden-mandal-matt-entz-288830583/)"
QB VALUES,K75,QB DATA — RECORD CORRECTION (FRES),2026-08-03 00:00:00,2026-08-24 00:00:00
QB VALUES,L75,QB DATA — RECORD CORRECTION (FRES),"VERIFIED 2026-08-03: Fresno State has a THREE-WAY quarterback battle 'likely to run deep into August' involving a Western Michigan transfer and Mercer transfer Braden Atkinson (2025 Jerry Rice Award winner, FCS freshman of the year). Prior single-name entry could not be corroborated. L retained; entry generalized; values blank; UNCERTAIN.","2026-08-24 RECORD CORRECTION (data quality only; confidence L UNCHANGED, status remains UNCERTAIN, numerical values remain BLANK). The candidate field read 'Open (three-way battle into August)', which is stale. The current race is a TWO-MAN contest: Khristian Martin (Maryland transfer) vs Jayden Mandal (2025 backup); Matt Entz has named no winner. BRADEN ATKINSON IS AT OREGON STATE, NOT FRESNO STATE - he is correctly carried on Oregon State row 76 and was never present in this field. RECHECK: Entz naming or a Week 1 depth chart."
QB VALUES,C131,QB DATA — ACTIVATION (GASO),,Max Johnson
QB VALUES,D131,QB DATA — ACTIVATION (GASO),,0
QB VALUES,E131,QB DATA — ACTIVATION (GASO),Max Johnson (leader; Turner Helton competing),Max Johnson
QB VALUES,F131,QB DATA — ACTIVATION (GASO),,0
QB VALUES,I131,QB DATA — ACTIVATION (GASO),ESPN/Athlon Sun Belt 2026 previews (https://www.espn.com/college-football/story/_/id/48759931/2026-sun-belt-conference-college-football-preview-predictions-every-team),"ESPN, 2026-08-23 (https://www.espn.com/college-football/story/_/id/49704180/max-johnson-start-quarterback-georgia-southern); Pete Thamel report (https://x.com/PeteThamel/status/2091599767289688141)"
QB VALUES,K131,QB DATA — ACTIVATION (GASO),2026-08-04 00:00:00,2026-08-24 00:00:00
QB VALUES,L131,QB DATA — ACTIVATION (GASO),"STALE ENTRY CORRECTED 7D.4A, RE-VERIFIED 7D.5 2026-08-04: prior entry read 'Open (Weston Bryan / Turner Helton)' and OMITTED MAX JOHNSON ENTIRELY. Johnson signed from North Carolina on 2026-01-11 (previously LSU 2020-21, Texas A&M 2022-23), and at SUN BELT MEDIA DAYS (2026-07-15) HC CLAY HELTON SAID 'Max Johnson is expected to be the starter if the season began today,' citing experience and high-level production. Turner Helton (WKU transfer, the head coach's son; 14/26, 74 yds, 1 TD in 3 appearances in 2025) is the other player with a shot at the 2026-09-05 opener; both took first-team reps in the spring game. Documented leader by direct head-coach statement, no official naming -> M (not H). Per the L->M rule values REMAIN BLANK, so status correctly stays UNCERTAIN. OPEN RISK: Johnson's durability - season-ending injuries at Texas A&M in 2022 and 2023 and a broken leg in UNC's 2024 opener.","2026-08-24 ACTIVATED, confidence M (UNCHANGED from M). ESPN reported on 2026-08-23 that Max Johnson will start at quarterback for Georgia Southern; Pete Thamel: 'Sources: Georgia Southern has named veteran Max Johnson the school's starting quarterback.' M rather than H because this is a reporter-sourced claim rather than a team or coach announcement, matching the precedent set when North Carolina was activated at M on a Thamel sources report. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: Thamel's detail that Johnson debuts against Charleston Southern then faces Clemson in Week 2 matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Charleston Southern @ Georgia Southern, FCS - NO PLAY; wk2 2026-09-12 Georgia Southern @ Clemson). Supersedes the 2026-08-19 authoritative update, which as of its 2026-07-17 check recorded only 'would start if today'. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change."
