sheet	cell	v0.4.2_value	v0.5.1_value
ENGINE	AI10	'=IF($A10="","",IF($AH10<>"","BLOCKED",IF(CALC!$S10=1,"PENDING LINE",IF(CALC!$Q10=1,"STALE LINE",IF($AE10="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF10<>"",AND($G10="FCS",$I10=""),AND($H10="FCS",$J10="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B10="",$C10=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A10="","",IF($AH10<>"","BLOCKED",IF($AG10<>"","FCS — NO PLAY",IF(CALC!$S10=1,"PENDING LINE",IF(CALC!$Q10=1,"STALE LINE",IF($AE10="QB UNCERTAIN","QB UNCERTAIN",IF($AF10<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B10="",$C10=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ10	'=IF(OR($AI10="",$AI10="BLOCKED",$AI10="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z10<SETTINGS!$B$24,1,0)-IF($AE10="QB UNCERTAIN",1,0)-IF($AF10<>"",1,0)-IF($AG10<>"",1,0)+IF(CALC!$Z10>=6,1,0))))'	'=IF(OR($AI10="",$AI10="BLOCKED",$AI10="PENDING LINE",$AI10="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z10<SETTINGS!$B$24,1,0)-IF($AE10="QB UNCERTAIN",1,0)-IF($AF10<>"",1,0)-IF($AG10<>"",1,0)+IF(CALC!$Z10>=6,1,0))))'
ENGINE	AI11	'=IF($A11="","",IF($AH11<>"","BLOCKED",IF(CALC!$S11=1,"PENDING LINE",IF(CALC!$Q11=1,"STALE LINE",IF($AE11="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF11<>"",AND($G11="FCS",$I11=""),AND($H11="FCS",$J11="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B11="",$C11=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A11="","",IF($AH11<>"","BLOCKED",IF($AG11<>"","FCS — NO PLAY",IF(CALC!$S11=1,"PENDING LINE",IF(CALC!$Q11=1,"STALE LINE",IF($AE11="QB UNCERTAIN","QB UNCERTAIN",IF($AF11<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B11="",$C11=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ11	'=IF(OR($AI11="",$AI11="BLOCKED",$AI11="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z11<SETTINGS!$B$24,1,0)-IF($AE11="QB UNCERTAIN",1,0)-IF($AF11<>"",1,0)-IF($AG11<>"",1,0)+IF(CALC!$Z11>=6,1,0))))'	'=IF(OR($AI11="",$AI11="BLOCKED",$AI11="PENDING LINE",$AI11="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z11<SETTINGS!$B$24,1,0)-IF($AE11="QB UNCERTAIN",1,0)-IF($AF11<>"",1,0)-IF($AG11<>"",1,0)+IF(CALC!$Z11>=6,1,0))))'
ENGINE	AI12	'=IF($A12="","",IF($AH12<>"","BLOCKED",IF(CALC!$S12=1,"PENDING LINE",IF(CALC!$Q12=1,"STALE LINE",IF($AE12="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF12<>"",AND($G12="FCS",$I12=""),AND($H12="FCS",$J12="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B12="",$C12=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A12="","",IF($AH12<>"","BLOCKED",IF($AG12<>"","FCS — NO PLAY",IF(CALC!$S12=1,"PENDING LINE",IF(CALC!$Q12=1,"STALE LINE",IF($AE12="QB UNCERTAIN","QB UNCERTAIN",IF($AF12<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B12="",$C12=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ12	'=IF(OR($AI12="",$AI12="BLOCKED",$AI12="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z12<SETTINGS!$B$24,1,0)-IF($AE12="QB UNCERTAIN",1,0)-IF($AF12<>"",1,0)-IF($AG12<>"",1,0)+IF(CALC!$Z12>=6,1,0))))'	'=IF(OR($AI12="",$AI12="BLOCKED",$AI12="PENDING LINE",$AI12="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z12<SETTINGS!$B$24,1,0)-IF($AE12="QB UNCERTAIN",1,0)-IF($AF12<>"",1,0)-IF($AG12<>"",1,0)+IF(CALC!$Z12>=6,1,0))))'
ENGINE	AI13	'=IF($A13="","",IF($AH13<>"","BLOCKED",IF(CALC!$S13=1,"PENDING LINE",IF(CALC!$Q13=1,"STALE LINE",IF($AE13="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF13<>"",AND($G13="FCS",$I13=""),AND($H13="FCS",$J13="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B13="",$C13=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A13="","",IF($AH13<>"","BLOCKED",IF($AG13<>"","FCS — NO PLAY",IF(CALC!$S13=1,"PENDING LINE",IF(CALC!$Q13=1,"STALE LINE",IF($AE13="QB UNCERTAIN","QB UNCERTAIN",IF($AF13<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B13="",$C13=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ13	'=IF(OR($AI13="",$AI13="BLOCKED",$AI13="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z13<SETTINGS!$B$24,1,0)-IF($AE13="QB UNCERTAIN",1,0)-IF($AF13<>"",1,0)-IF($AG13<>"",1,0)+IF(CALC!$Z13>=6,1,0))))'	'=IF(OR($AI13="",$AI13="BLOCKED",$AI13="PENDING LINE",$AI13="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z13<SETTINGS!$B$24,1,0)-IF($AE13="QB UNCERTAIN",1,0)-IF($AF13<>"",1,0)-IF($AG13<>"",1,0)+IF(CALC!$Z13>=6,1,0))))'
ENGINE	AI14	'=IF($A14="","",IF($AH14<>"","BLOCKED",IF(CALC!$S14=1,"PENDING LINE",IF(CALC!$Q14=1,"STALE LINE",IF($AE14="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF14<>"",AND($G14="FCS",$I14=""),AND($H14="FCS",$J14="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B14="",$C14=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A14="","",IF($AH14<>"","BLOCKED",IF($AG14<>"","FCS — NO PLAY",IF(CALC!$S14=1,"PENDING LINE",IF(CALC!$Q14=1,"STALE LINE",IF($AE14="QB UNCERTAIN","QB UNCERTAIN",IF($AF14<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B14="",$C14=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ14	'=IF(OR($AI14="",$AI14="BLOCKED",$AI14="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z14<SETTINGS!$B$24,1,0)-IF($AE14="QB UNCERTAIN",1,0)-IF($AF14<>"",1,0)-IF($AG14<>"",1,0)+IF(CALC!$Z14>=6,1,0))))'	'=IF(OR($AI14="",$AI14="BLOCKED",$AI14="PENDING LINE",$AI14="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z14<SETTINGS!$B$24,1,0)-IF($AE14="QB UNCERTAIN",1,0)-IF($AF14<>"",1,0)-IF($AG14<>"",1,0)+IF(CALC!$Z14>=6,1,0))))'
ENGINE	AI15	'=IF($A15="","",IF($AH15<>"","BLOCKED",IF(CALC!$S15=1,"PENDING LINE",IF(CALC!$Q15=1,"STALE LINE",IF($AE15="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF15<>"",AND($G15="FCS",$I15=""),AND($H15="FCS",$J15="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B15="",$C15=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A15="","",IF($AH15<>"","BLOCKED",IF($AG15<>"","FCS — NO PLAY",IF(CALC!$S15=1,"PENDING LINE",IF(CALC!$Q15=1,"STALE LINE",IF($AE15="QB UNCERTAIN","QB UNCERTAIN",IF($AF15<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B15="",$C15=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ15	'=IF(OR($AI15="",$AI15="BLOCKED",$AI15="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z15<SETTINGS!$B$24,1,0)-IF($AE15="QB UNCERTAIN",1,0)-IF($AF15<>"",1,0)-IF($AG15<>"",1,0)+IF(CALC!$Z15>=6,1,0))))'	'=IF(OR($AI15="",$AI15="BLOCKED",$AI15="PENDING LINE",$AI15="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z15<SETTINGS!$B$24,1,0)-IF($AE15="QB UNCERTAIN",1,0)-IF($AF15<>"",1,0)-IF($AG15<>"",1,0)+IF(CALC!$Z15>=6,1,0))))'
ENGINE	AI16	'=IF($A16="","",IF($AH16<>"","BLOCKED",IF(CALC!$S16=1,"PENDING LINE",IF(CALC!$Q16=1,"STALE LINE",IF($AE16="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF16<>"",AND($G16="FCS",$I16=""),AND($H16="FCS",$J16="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B16="",$C16=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A16="","",IF($AH16<>"","BLOCKED",IF($AG16<>"","FCS — NO PLAY",IF(CALC!$S16=1,"PENDING LINE",IF(CALC!$Q16=1,"STALE LINE",IF($AE16="QB UNCERTAIN","QB UNCERTAIN",IF($AF16<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B16="",$C16=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ16	'=IF(OR($AI16="",$AI16="BLOCKED",$AI16="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z16<SETTINGS!$B$24,1,0)-IF($AE16="QB UNCERTAIN",1,0)-IF($AF16<>"",1,0)-IF($AG16<>"",1,0)+IF(CALC!$Z16>=6,1,0))))'	'=IF(OR($AI16="",$AI16="BLOCKED",$AI16="PENDING LINE",$AI16="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z16<SETTINGS!$B$24,1,0)-IF($AE16="QB UNCERTAIN",1,0)-IF($AF16<>"",1,0)-IF($AG16<>"",1,0)+IF(CALC!$Z16>=6,1,0))))'
ENGINE	AI17	'=IF($A17="","",IF($AH17<>"","BLOCKED",IF(CALC!$S17=1,"PENDING LINE",IF(CALC!$Q17=1,"STALE LINE",IF($AE17="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF17<>"",AND($G17="FCS",$I17=""),AND($H17="FCS",$J17="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B17="",$C17=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A17="","",IF($AH17<>"","BLOCKED",IF($AG17<>"","FCS — NO PLAY",IF(CALC!$S17=1,"PENDING LINE",IF(CALC!$Q17=1,"STALE LINE",IF($AE17="QB UNCERTAIN","QB UNCERTAIN",IF($AF17<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B17="",$C17=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ17	'=IF(OR($AI17="",$AI17="BLOCKED",$AI17="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z17<SETTINGS!$B$24,1,0)-IF($AE17="QB UNCERTAIN",1,0)-IF($AF17<>"",1,0)-IF($AG17<>"",1,0)+IF(CALC!$Z17>=6,1,0))))'	'=IF(OR($AI17="",$AI17="BLOCKED",$AI17="PENDING LINE",$AI17="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z17<SETTINGS!$B$24,1,0)-IF($AE17="QB UNCERTAIN",1,0)-IF($AF17<>"",1,0)-IF($AG17<>"",1,0)+IF(CALC!$Z17>=6,1,0))))'
ENGINE	AI18	'=IF($A18="","",IF($AH18<>"","BLOCKED",IF(CALC!$S18=1,"PENDING LINE",IF(CALC!$Q18=1,"STALE LINE",IF($AE18="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF18<>"",AND($G18="FCS",$I18=""),AND($H18="FCS",$J18="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B18="",$C18=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A18="","",IF($AH18<>"","BLOCKED",IF($AG18<>"","FCS — NO PLAY",IF(CALC!$S18=1,"PENDING LINE",IF(CALC!$Q18=1,"STALE LINE",IF($AE18="QB UNCERTAIN","QB UNCERTAIN",IF($AF18<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B18="",$C18=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ18	'=IF(OR($AI18="",$AI18="BLOCKED",$AI18="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z18<SETTINGS!$B$24,1,0)-IF($AE18="QB UNCERTAIN",1,0)-IF($AF18<>"",1,0)-IF($AG18<>"",1,0)+IF(CALC!$Z18>=6,1,0))))'	'=IF(OR($AI18="",$AI18="BLOCKED",$AI18="PENDING LINE",$AI18="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z18<SETTINGS!$B$24,1,0)-IF($AE18="QB UNCERTAIN",1,0)-IF($AF18<>"",1,0)-IF($AG18<>"",1,0)+IF(CALC!$Z18>=6,1,0))))'
ENGINE	AI19	'=IF($A19="","",IF($AH19<>"","BLOCKED",IF(CALC!$S19=1,"PENDING LINE",IF(CALC!$Q19=1,"STALE LINE",IF($AE19="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF19<>"",AND($G19="FCS",$I19=""),AND($H19="FCS",$J19="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B19="",$C19=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A19="","",IF($AH19<>"","BLOCKED",IF($AG19<>"","FCS — NO PLAY",IF(CALC!$S19=1,"PENDING LINE",IF(CALC!$Q19=1,"STALE LINE",IF($AE19="QB UNCERTAIN","QB UNCERTAIN",IF($AF19<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B19="",$C19=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ19	'=IF(OR($AI19="",$AI19="BLOCKED",$AI19="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z19<SETTINGS!$B$24,1,0)-IF($AE19="QB UNCERTAIN",1,0)-IF($AF19<>"",1,0)-IF($AG19<>"",1,0)+IF(CALC!$Z19>=6,1,0))))'	'=IF(OR($AI19="",$AI19="BLOCKED",$AI19="PENDING LINE",$AI19="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z19<SETTINGS!$B$24,1,0)-IF($AE19="QB UNCERTAIN",1,0)-IF($AF19<>"",1,0)-IF($AG19<>"",1,0)+IF(CALC!$Z19>=6,1,0))))'
ENGINE	AI20	'=IF($A20="","",IF($AH20<>"","BLOCKED",IF(CALC!$S20=1,"PENDING LINE",IF(CALC!$Q20=1,"STALE LINE",IF($AE20="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF20<>"",AND($G20="FCS",$I20=""),AND($H20="FCS",$J20="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B20="",$C20=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A20="","",IF($AH20<>"","BLOCKED",IF($AG20<>"","FCS — NO PLAY",IF(CALC!$S20=1,"PENDING LINE",IF(CALC!$Q20=1,"STALE LINE",IF($AE20="QB UNCERTAIN","QB UNCERTAIN",IF($AF20<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B20="",$C20=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ20	'=IF(OR($AI20="",$AI20="BLOCKED",$AI20="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z20<SETTINGS!$B$24,1,0)-IF($AE20="QB UNCERTAIN",1,0)-IF($AF20<>"",1,0)-IF($AG20<>"",1,0)+IF(CALC!$Z20>=6,1,0))))'	'=IF(OR($AI20="",$AI20="BLOCKED",$AI20="PENDING LINE",$AI20="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z20<SETTINGS!$B$24,1,0)-IF($AE20="QB UNCERTAIN",1,0)-IF($AF20<>"",1,0)-IF($AG20<>"",1,0)+IF(CALC!$Z20>=6,1,0))))'
ENGINE	AI21	'=IF($A21="","",IF($AH21<>"","BLOCKED",IF(CALC!$S21=1,"PENDING LINE",IF(CALC!$Q21=1,"STALE LINE",IF($AE21="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF21<>"",AND($G21="FCS",$I21=""),AND($H21="FCS",$J21="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B21="",$C21=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A21="","",IF($AH21<>"","BLOCKED",IF($AG21<>"","FCS — NO PLAY",IF(CALC!$S21=1,"PENDING LINE",IF(CALC!$Q21=1,"STALE LINE",IF($AE21="QB UNCERTAIN","QB UNCERTAIN",IF($AF21<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B21="",$C21=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ21	'=IF(OR($AI21="",$AI21="BLOCKED",$AI21="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z21<SETTINGS!$B$24,1,0)-IF($AE21="QB UNCERTAIN",1,0)-IF($AF21<>"",1,0)-IF($AG21<>"",1,0)+IF(CALC!$Z21>=6,1,0))))'	'=IF(OR($AI21="",$AI21="BLOCKED",$AI21="PENDING LINE",$AI21="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z21<SETTINGS!$B$24,1,0)-IF($AE21="QB UNCERTAIN",1,0)-IF($AF21<>"",1,0)-IF($AG21<>"",1,0)+IF(CALC!$Z21>=6,1,0))))'
ENGINE	AI22	'=IF($A22="","",IF($AH22<>"","BLOCKED",IF(CALC!$S22=1,"PENDING LINE",IF(CALC!$Q22=1,"STALE LINE",IF($AE22="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF22<>"",AND($G22="FCS",$I22=""),AND($H22="FCS",$J22="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B22="",$C22=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A22="","",IF($AH22<>"","BLOCKED",IF($AG22<>"","FCS — NO PLAY",IF(CALC!$S22=1,"PENDING LINE",IF(CALC!$Q22=1,"STALE LINE",IF($AE22="QB UNCERTAIN","QB UNCERTAIN",IF($AF22<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B22="",$C22=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AJ22	'=IF(OR($AI22="",$AI22="BLOCKED",$AI22="PENDING LINE"),"",MAX(1,MIN(5,3-IF(CALC!$Z22<SETTINGS!$B$24,1,0)-IF($AE22="QB UNCERTAIN",1,0)-IF($AF22<>"",1,0)-IF($AG22<>"",1,0)+IF(CALC!$Z22>=6,1,0))))'	'=IF(OR($AI22="",$AI22="BLOCKED",$AI22="PENDING LINE",$AI22="FCS — NO PLAY"),"",MAX(1,MIN(5,3-IF(CALC!$Z22<SETTINGS!$B$24,1,0)-IF($AE22="QB UNCERTAIN",1,0)-IF($AF22<>"",1,0)-IF($AG22<>"",1,0)+IF(CALC!$Z22>=6,1,0))))'
ENGINE	AI23	'=IF($A23="","",IF($AH23<>"","BLOCKED",IF(CALC!$S23=1,"PENDING LINE",IF(CALC!$Q23=1,"STALE LINE",IF($AE23="QB UNCERTAIN","QB UNCERTAIN",IF(OR($AF23<>"",AND($G23="FCS",$I23=""),AND($H23="FCS",$J23="")),"FCS/TRANSITION UNCERTAIN",IF(OR($B23="",$C23=""),"DATA INCOMPLETE","READY")))))))'	'=IF($A23="","",IF($AH23<>"","BLOCKED",IF($AG23<>"","FCS — NO PLAY",IF(CALC!$S23=1,"PENDING LINE",IF(CALC!$Q23=1,"STALE LINE",IF($AE23="QB UNCERTAIN","QB UNCERTAIN",IF($AF23<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B23="",$C23=""),"DATA INCOMPLETE","READY"))))))))'
