sheet	cell	v0.4.2_value	v0.5_value
FCS TIERS	L8	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M8	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	B9	None	-35.5
FCS TIERS	C9	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games; quartile bucket of 33 rated non-FBS teams in the full 2025 graph, range -46.3 to -29.4. FALLBACK ONLY - none of the 100 current 2026-schedule FCS opponents use this; all resolved via the named-override table (J:M).'
FCS TIERS	D9	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J9	None	'Arkansas-Pine Bluff Golden Lions'
FCS TIERS	K9	None	-34.6
FCS TIERS	L9	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=11 2025 games)'
FCS TIERS	M9	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J10	None	'Austin Peay Governors'
FCS TIERS	K10	None	-10.1
FCS TIERS	L10	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M10	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J11	None	'Bethune-Cookman Wildcats'
FCS TIERS	K11	None	-25.98
FCS TIERS	L11	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M11	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J12	None	'Bryant Bulldogs'
FCS TIERS	K12	None	-32.95
FCS TIERS	L12	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M12	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J13	None	'Bucknell Bison'
FCS TIERS	K13	None	-32.6
FCS TIERS	L13	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M13	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J14	None	'Cal Poly Mustangs'
FCS TIERS	K14	None	-13.82
FCS TIERS	L14	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M14	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J15	None	'Campbell Fighting Camels'
FCS TIERS	K15	None	-27.68
FCS TIERS	L15	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M15	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J16	None	'Central Arkansas Bears'
FCS TIERS	K16	None	-20.14
FCS TIERS	L16	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M16	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J17	None	'Central Connecticut Blue Devils'
FCS TIERS	K17	None	-22.15
FCS TIERS	L17	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=13 2025 games)'
FCS TIERS	M17	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J18	None	'Charleston Southern Buccaneers'
FCS TIERS	K18	None	-24.81
FCS TIERS	L18	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M18	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J19	None	'Chattanooga Mocs'
FCS TIERS	K19	None	-26.51
FCS TIERS	L19	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M19	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J20	None	'Colgate Raiders'
FCS TIERS	K20	None	-23.38
FCS TIERS	L20	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M20	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J21	None	'Delaware State Hornets'
FCS TIERS	K21	None	-23.85
FCS TIERS	L21	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M21	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J22	None	'Duquesne Dukes'
FCS TIERS	K22	None	-23.36
FCS TIERS	L22	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M22	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J23	None	'East Tennessee State Buccaneers'
FCS TIERS	K23	None	-15.53
FCS TIERS	L23	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M23	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J24	None	'East Texas A&M Lions'
FCS TIERS	K24	None	-24.35
FCS TIERS	L24	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M24	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J25	None	'Eastern Illinois Panthers'
FCS TIERS	K25	None	-28.54
FCS TIERS	L25	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M25	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J26	None	'Eastern Kentucky Colonels'
FCS TIERS	K26	None	-18.44
FCS TIERS	L26	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M26	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J27	None	'Eastern Washington Eagles'
FCS TIERS	K27	None	-17.34
FCS TIERS	L27	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M27	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J28	None	'Elon Phoenix'
FCS TIERS	K28	None	-19.78
FCS TIERS	L28	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M28	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J29	None	'Florida A&M Rattlers'
FCS TIERS	K29	None	-35.16
FCS TIERS	L29	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M29	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J30	None	'Fordham Rams'
FCS TIERS	K30	None	-35.4
FCS TIERS	L30	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M30	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J31	None	'Furman Paladins'
FCS TIERS	K31	None	-25.79
FCS TIERS	L31	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M31	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J32	None	"Gardner-Webb Runnin' Bulldogs"
FCS TIERS	K32	None	-19.95
FCS TIERS	L32	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M32	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J33	None	'Grambling Tigers'
FCS TIERS	K33	None	-25.87
FCS TIERS	L33	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M33	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J34	None	'Hampton Pirates'
FCS TIERS	K34	None	-41.17
FCS TIERS	L34	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M34	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J35	None	'Holy Cross Crusaders'
FCS TIERS	K35	None	-22.91
FCS TIERS	L35	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M35	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J36	None	'Houston Christian Huskies'
FCS TIERS	K36	None	-33.77
FCS TIERS	L36	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M36	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J37	None	'Howard Bison'
FCS TIERS	K37	None	-32.37
FCS TIERS	L37	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M37	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J38	None	'Idaho State Bengals'
FCS TIERS	K38	None	-10.82
FCS TIERS	L38	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M38	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J39	None	'Idaho Vandals'
FCS TIERS	K39	None	-15.06
FCS TIERS	L39	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M39	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J40	None	'Illinois State Redbirds'
FCS TIERS	K40	None	-5.44
FCS TIERS	L40	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=17 2025 games)'
FCS TIERS	M40	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J41	None	'Incarnate Word Cardinals'
FCS TIERS	K41	None	-16.9
FCS TIERS	L41	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M41	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J42	None	'Indiana State Sycamores'
FCS TIERS	K42	None	-20.98
FCS TIERS	L42	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M42	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J43	None	'Lafayette Leopards'
FCS TIERS	K43	None	-19.48
FCS TIERS	L43	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M43	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J44	None	'Lamar Cardinals'
FCS TIERS	K44	None	-14.73
FCS TIERS	L44	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=13 2025 games)'
FCS TIERS	M44	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J45	None	'Lindenwood Lions'
FCS TIERS	K45	None	-22.08
FCS TIERS	L45	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M45	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J46	None	'Long Island University Sharks'
FCS TIERS	K46	None	-24.99
FCS TIERS	L46	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M46	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J47	None	'Maine Black Bears'
FCS TIERS	K47	None	-22.47
FCS TIERS	L47	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M47	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J48	None	'McNeese Cowboys'
FCS TIERS	K48	None	-22.75
FCS TIERS	L48	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M48	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J49	None	'Mercer Bears'
FCS TIERS	K49	None	-11.88
FCS TIERS	L49	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M49	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J50	None	'Mercyhurst Lakers'
FCS TIERS	K50	None	-26.11
FCS TIERS	L50	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M50	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J51	None	'Merrimack Warriors'
FCS TIERS	K51	None	-28.68
FCS TIERS	L51	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M51	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J52	None	'Mississippi Valley State Delta Devils'
FCS TIERS	K52	None	-38.91
FCS TIERS	L52	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M52	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J53	None	'Monmouth Hawks'
FCS TIERS	K53	None	-15.3
FCS TIERS	L53	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M53	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J54	None	'Montana Grizzlies'
FCS TIERS	K54	None	0.01
FCS TIERS	L54	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=15 2025 games)'
FCS TIERS	M54	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J55	None	'Montana State Bobcats'
FCS TIERS	K55	None	4.82
FCS TIERS	L55	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=16 2025 games)'
FCS TIERS	M55	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J56	None	'Morgan State Bears'
FCS TIERS	K56	None	-29.9
FCS TIERS	L56	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M56	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J57	None	'Murray State Racers'
FCS TIERS	K57	None	-29.42
FCS TIERS	L57	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M57	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J58	None	'New Hampshire Wildcats'
FCS TIERS	K58	None	-16.56
FCS TIERS	L58	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=13 2025 games)'
FCS TIERS	M58	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J59	None	'Nicholls Colonels'
FCS TIERS	K59	None	-21.91
FCS TIERS	L59	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M59	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J60	None	'Norfolk State Spartans'
FCS TIERS	K60	None	-37.66
FCS TIERS	L60	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M60	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J61	None	'North Alabama Lions'
FCS TIERS	K61	None	-25.39
FCS TIERS	L61	None	'TTW-computed opponent-adjusted rating (SRS-style iterative solve, HFA 2.5, cap +/-28/game, mean-centered to FBS=0) from verified 2025 ESPN scoreboard results (site.api.espn.com), groups 80+81, seasontype 2+3, all completed games (n=12 2025 games)'
FCS TIERS	M61	None	datetime.datetime(2026, 7, 20, 0, 0)
FCS TIERS	J62	None	'North Carolina A&T Aggies'
FCS TIERS	K62	None	-36.72
