row	abbrev	team	conference	status	reason
19	TEX	Texas	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
20	TAMU	Texas A&M	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
21	VAN	Vanderbilt	SEC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
22	ILL	Illinois	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
23	IND	Indiana	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
24	IOWA	Iowa	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
25	MD	Maryland	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
26	MICH	Michigan	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
27	MSU	Michigan State	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
28	MINN	Minnesota	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
29	NEB	Nebraska	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
30	NW	Northwestern	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
31	OHST	Ohio State	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
32	ORE	Oregon	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
33	PSU	Penn State	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
34	PUR	Purdue	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
35	RUTG	Rutgers	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
36	UCLA	UCLA	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
37	USC	USC	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
38	WASH	Washington	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
39	WISC	Wisconsin	Big Ten	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
40	ARIZ	Arizona	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
41	AZST	Arizona State	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
42	BAY	Baylor	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
43	BYU	BYU	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
44	CIN	Cincinnati	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
45	COLO	Colorado	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
46	HOU	Houston	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
47	ISU	Iowa State	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
48	KAN	Kansas	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
49	KSU	Kansas State	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
50	OKST	Oklahoma State	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
51	TCU	TCU	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
52	TTU	Texas Tech	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
53	UCF	UCF	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
54	UTAH	Utah	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
55	WVU	West Virginia	Big 12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
56	BC	Boston College	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
57	CAL	California	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
58	CLEM	Clemson	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
59	DUKE	Duke	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
60	FSU	Florida State	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
61	GT	Georgia Tech	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
62	LOU	Louisville	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
63	MIA	Miami	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
64	NCST	NC State	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
65	UNC	North Carolina	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
66	PITT	Pittsburgh	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
67	SMU	SMU	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
68	STAN	Stanford	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
69	SYR	Syracuse	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
70	UVA	Virginia	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
71	VT	Virginia Tech	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
72	WAKE	Wake Forest	ACC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
73	BSU	Boise State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
74	CSU	Colorado State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
75	FRES	Fresno State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
76	ORST	Oregon State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
77	SDSU	San Diego State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
78	TXST	Texas State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
79	USU	Utah State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
80	WSU	Washington State	Pac-12	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
81	ARMY	Army	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
82	CLT	Charlotte	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
83	ECU	East Carolina	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
84	FAU	Florida Atlantic	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
85	MEM	Memphis	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
86	NAVY	Navy	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
87	UNT	North Texas	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
88	RICE	Rice	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
89	USF	South Florida	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
90	TEM	Temple	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
91	TULN	Tulane	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
92	TLSA	Tulsa	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
93	UAB	UAB	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
94	UTSA	UTSA	American	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
95	DEL	Delaware	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
96	FIU	FIU	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
97	JVST	Jacksonville State	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
98	KENN	Kennesaw State	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
99	LIB	Liberty	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
100	MTSU	Middle Tennessee	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
101	MOST	Missouri State	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
102	NMSU	New Mexico State	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
103	SHSU	Sam Houston	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
104	WKU	Western Kentucky	Conference USA	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
105	AKR	Akron	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
106	BALL	Ball State	MAC	UNCERTAIN	No verifiable/citable projected-starter source available (ESPN depth chart endpoint returns empty {} for all spot-checked teams as of 2026-07-20; ESPN roster endpoint lists QBs on roster but carries no starter/depth-order designation - inferring a starter from jersey number, experience, or name recognition would be speculation)
