sheet,cell,classification,old,new
QB VALUES,I65,QB DATA — RESYNC from live production master (UNC),"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)","ESPN (Pete Thamel), 2026-08-18: https://www.espn.com/college-football/story/_/id/49651014/sources-billy-edwards-jr-start-qb-north-carolina ; corroborated by Inside Carolina/On3: https://www.on3.com/teams/north-carolina-tar-heels/news/billy-edwards-jr-named-unc-starting-quarterback/"
QB VALUES,K65,QB DATA — RESYNC from live production master (UNC),2026-08-04 00:00:00,2026-08-19 00:00:00
QB VALUES,L65,QB DATA — RESYNC from live production master (UNC),"DEFECT CORRECTED 7D.5 2026-08-04: prior entry asserted the Wisconsin transfer as North Carolina's 'projected transfer QB1' (M). Current team-specific coverage contradicts it - headline 2026-07-18: 'UNC QUARTERBACK BATTLE REMAINS WIDE OPEN as Tar Heels head into fall camp.' NO starter named. HC Bill Belichick left the competition open: 'This year our quarterbacks after spring ball are still here, are out in player-run practices,' and described the room as 'significantly deeper and more stable' than 2025 - depth, not a decision. FOUR candidates: Billy Edwards Jr. (most experienced), Miles O'Neill (Texas A&M transfer, 'cannon of an arm'), Au'Tori Newkirk, and Travis Burgess (senior, recovering from injury). No leader identified -> M downgraded to L. NUMERICAL CELLS WERE ALREADY BLANK - this record was never zero-initialized (one of seven M-coded rows carrying blank inputs), so no consistency repair was required and the status was ALREADY UNCERTAIN; the L code now makes that gate explicit rather than incidental. RECHECK: UNC depth chart or a Belichick naming.","VERIFIED 2026-08-19: ESPN's Pete Thamel reported on 2026-08-18 that North Carolina named veteran transfer Billy Edwards Jr. the starter for the 2026-08-29 opener vs TCU in Dublin after a close competition with Miles O'Neill. Inside Carolina/On3 independently confirmed Edwards had been informed of the decision. No public GoHeels/UNC Football announcement was located at review time, so confidence is M rather than H. Recent local reporting indicates Edwards is healthy, with no current availability restriction reported. Baseline and active values set to 0/0 under the deviation-only convention; no nonzero QB adjustment or model change. RECHECK: official UNC game notes, depth chart, or direct team announcement."
QB VALUES,C68,QB DATA — RESYNC from live production master (STAN),,Davis Warren
QB VALUES,D68,QB DATA — RESYNC from live production master (STAN),,0
QB VALUES,F68,QB DATA — RESYNC from live production master (STAN),,0
QB VALUES,H68,QB DATA — RESYNC from live production master (STAN),L,H
QB VALUES,I68,QB DATA — RESYNC from live production master (STAN),"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)","Press Democrat / ESPN, 2026-08-18 (https://www.pressdemocrat.com/2026/08/18/stanford-makes-it-official-qb-davis-warren-will-start-season-opener-against-hawaii-on-aug-29/ ; https://www.espn.com/college-football/story/_/id/49654443/stanford-names-ex-michigan-qb-davis-warren-starter)"
QB VALUES,K68,QB DATA — RESYNC from live production master (STAN),2026-08-04 00:00:00,2026-08-21 00:00:00
QB VALUES,L68,QB DATA — RESYNC from live production master (STAN),"VERIFIED 7D.5 2026-08-04: quarterback remains one of Stanford's named key fall-camp position battles. Davis Warren (Michigan grad transfer with starting experience) is described as being in a strong position, with true freshman early enrollee Michael Mitchell Jr. able to compete. NO staff naming located, and 'strong position' is a projection rather than a decision -> L retained under the 7D.5 rule; values blank; UNCERTAIN. RECHECK: Stanford depth chart.",2026-08-21 FINAL QB VERIFICATION: Stanford formally named Davis Warren the starter for the Aug. 29 opener against Hawaii; head coach Tavita Pritchard publicly confirmed the decision. Baseline and active values 0/0 under the deviation-only convention; no numerical adjustment proposed. RECHECK: Week 0 official depth chart or game notes.
QB VALUES,E91,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (TULN),Kadin Semonza,Open (Semonza / Chriss-Gremillion / Johnson / Bruno)
QB VALUES,I91,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (TULN),Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),"FOX 8 New Orleans, 2026-07-24 (https://www.fox8live.com/2026/07/24/four-qbs-battling-starting-spot-tulane/)"
QB VALUES,K91,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (TULN),2026-08-04 00:00:00,2026-08-21 00:00:00
QB VALUES,L91,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (TULN),"VERIFIED 7D.5 2026-08-04: 'The competition CONTINUES as the Green Wave enter fall practice.' Kadin Semonza (Ball State transfer; a big 2024 at Ball State, did NOT play in 2025) 'will likely be the main man - but he HAS TO HOLD OFF' Houston transfer Zeon Chriss-Gremillion, sophomore Dagan Bruno and freshman Trace Johnson. A leader who must hold off three challengers with no naming -> L retained; values blank; UNCERTAIN. Entry corroborated.","2026-08-21 CANDIDATE RECORD CORRECTED: the active field named Kadin Semonza alone, which overstated a four-way competition the record's own note already described. Current reporting confirms four quarterbacks taking fall-camp reps — Semonza, Zeon Chriss-Gremillion, Trace Johnson and Dagan Bruno — with head coach Will Hall yet to select one, and reporting that the job defaults to Chriss-Gremillion if no one separates. Candidate list corrected to match. Confidence L is UNCHANGED and correct. Numerical values remain blank; status stays UNCERTAIN. RECHECK: Will Hall naming or Week 1 depth chart."
QB VALUES,C101,QB DATA — RESYNC from live production master (MOST),,Skyler Locklear
QB VALUES,D101,QB DATA — RESYNC from live production master (MOST),,0
QB VALUES,E101,QB DATA — RESYNC from live production master (MOST),Open competition (new HC Casey Woods),Skyler Locklear
QB VALUES,F101,QB DATA — RESYNC from live production master (MOST),,0
QB VALUES,H101,QB DATA — RESYNC from live production master (MOST),L,H
QB VALUES,I101,QB DATA — RESYNC from live production master (MOST),Underdog Dynasty (C-USA 2026 QB projections) (https://www.underdogdynasty.com/conference-usa/43406/projecting-cusa-conference-usa-starting-qb-quarterbacks-2026-football),"Missouri State Football official / ESPN Pete Thamel, 2026-08-19 (https://x.com/MoStateFootball/status/2090208075986698243 ; https://x.com/PeteThamel/status/2090185825598226471)"
QB VALUES,K101,QB DATA — RESYNC from live production master (MOST),2026-08-03 00:00:00,2026-08-21 00:00:00
QB VALUES,L101,QB DATA — RESYNC from live production master (MOST),VERIFIED 2026-08-03: Missouri State welcomes new head coach Casey Woods and has a quarterback battle; NO starting quarterback has been definitively named. Genuine open competition -> L retained; values blank; UNCERTAIN.,2026-08-21 FINAL QB VERIFICATION: Missouri State officially named veteran UTEP transfer Skyler Locklear its starting quarterback; Pete Thamel reported that Locklear won the job over Henry Belin IV. Baseline and active values 0/0 under the deviation-only convention; no numerical adjustment proposed. RECHECK: Official Week 1 depth chart or game notes.
QB VALUES,E123,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (NIU),Taron Dickens (Western Carolina transfer),Open (Davidson / Macon / Hamric / Dickens)
QB VALUES,H123,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (NIU),M,L
QB VALUES,I123,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (NIU),Athlon/ESPN/Nevada Sports Net MW 2026 previews (https://www.espn.com/college-football/story/_/id/48873639/2026-college-football-mountain-west-conference-preview-predictions),HERO Sports NIU quarterback report (https://herosports.com/fbs-prolific-fcs-quarterback-taron-tyger-dickens-win-starting-job-northern-illinois-rcrc/)
QB VALUES,K123,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (NIU),2026-08-03 00:00:00,2026-08-21 00:00:00
QB VALUES,L123,QB DATA — CANDIDATE/CONFIDENCE CORRECTION (NIU),"DEFECT CORRECTED 2026-08-03: prior entry listed 'Open (Davidson / Macon / Hamric)' - none appear in current NIU coverage. Verified: TARON DICKENS, Western Carolina transfer and FCS WALTER PAYTON AWARD RUNNER-UP in 2025, is NIU's quarterback, paired with new OC Tony Petersen (ex-Illinois State, hired March 2026). High-profile transfer widely expected to start -> L upgraded to M. Per the L->M rule numerical values REMAIN BLANK (valuation unresolved), so status correctly stays UNCERTAIN.","2026-08-21 REVERSES THE 2026-08-03 UPGRADE. That review raised L to M on the reasoning that the prior candidates 'Davidson / Macon / Hamric' did not appear in current NIU coverage and that Taron Dickens was widely expected to start. Current reporting contradicts that premise directly: coaches have NOT named a starter among returners Brady Davidson and Jalen Macon and transfers Ean Hamric and Taron Dickens — all four are named in current coverage. 'Widely expected to start' is a projection, not a naming, so M is not supported. M downgraded to L and the four-way candidate list restored. Also corrects a citation defect: the prior source was a MOUNTAIN WEST conference preview cited for a MAC team. Context: HC Thomas Hammock departed for the NFL; Rob Harley is interim head coach. Numerical values remain blank; status stays UNCERTAIN either way. RECHECK: Week 1 depth chart, opener 2026-09-05 at Iowa."
QB VALUES,C124,QB DATA — RESYNC from live production master (SJSU),,Luke Weaver
QB VALUES,D124,QB DATA — RESYNC from live production master (SJSU),,0
QB VALUES,E124,QB DATA — RESYNC from live production master (SJSU),Open (three-way; starter not selected),Luke Weaver
QB VALUES,F124,QB DATA — RESYNC from live production master (SJSU),,0
QB VALUES,H124,QB DATA — RESYNC from live production master (SJSU),L,H
QB VALUES,I124,QB DATA — RESYNC from live production master (SJSU),Spartan Media Group / Duke Chronicle (https://spartanmediagroup.net/9716/sports/three-spartans-battle-for-starting-quarterback/),"San José State Football official / ESPN Pete Thamel, 2026-08-19 (https://x.com/SanJoseStateFB/status/2090177593983328666 ; https://x.com/PeteThamel/status/2090096585140994125)"
QB VALUES,K124,QB DATA — RESYNC from live production master (SJSU),2026-08-03 00:00:00,2026-08-21 00:00:00
QB VALUES,L124,QB DATA — RESYNC from live production master (SJSU),VERIFIED 2026-08-03: HC Ken Niumatalolo enters year three with a TOTAL RESET and must pick a quarterback among THREE separate candidates. Genuine open competition -> L retained; entry generalized from a single name; values blank; UNCERTAIN.,2026-08-21 FINAL QB VERIFICATION: San José State officially confirmed Luke Weaver as its starting quarterback after he won the fall-camp competition. Baseline and active values 0/0 under the deviation-only convention; no numerical adjustment proposed. RECHECK: Week 0 official depth chart or game notes.
