team,abbrev,conference,current_category,current_confidence,current_candidates,current_leader,baseline_qb_assumption,condition_to_clear,best_source_types,most_recent_source,most_recent_source_url,most_recent_source_date,next_research_checkpoint,next_research_date,last_checked_date,final_resolution,resolution_source,resolution_date,confidence_after_resolution,eligible_for_zero_init,requires_proposed_nonzero_deviation,notes
San Jose State,SJSU,Mountain West,open competition,L,"Luke Weaver (Hawaii transfer, RS senior) | Daniel Rolovich (Fr)",Luke Weaver,"Luke Weaver (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Spartan Media Group / Duke Chronicle (2026 offseason),https://spartanmediagroup.net/9716/sports/three-spartans-battle-for-starting-quarterback/,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Tulane,TULN,American,open competition,L,Kadin Semonza (Ball State transfer) | Zeon Chriss-Gremillion (Houston/Louisiana) | Dagan Bruno (RS Soph),Kadin Semonza,"Kadin Semonza (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Underdog Dynasty/Yahoo (American 2026 QB projections) (2026 offseason),https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
South Florida,USF,American,open competition,L,Luke Kromenhoek (FSU/Mississippi State) | Michael Van Buren Jr. (Mississippi State/LSU) | KJ Cooper (Texas Southern),OPEN (Kromenhoek / Van Buren Jr. / Cooper),"OPEN (Kromenhoek / Van Buren Jr. / Cooper) (presumed incumbent, not locked)",Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Yahoo (USF lands portal QB) / Green Gold & Bold (2026 offseason),https://sports.yahoo.com/articles/usf-lands-quarterback-transfer-portal-132621762.html,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Southern Miss,USM,Sun Belt,open competition,L,John White (RS Soph) | Ethan Hampton (Illinois transfer) | Landry Lyddy,,Not established (competition unresolved),Official depth chart or HC/OC announcement of QB1 (or clear 2+ source consensus),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,SI Southern Miss (2026 offseason),https://www.si.com/college/southernmiss/from-fourth-string-to-qb1-john-white-turning-heads-at-southern-miss-spring-practice,,Fall camp: early-mid Aug 2026; re-check game week (official depth chart),2026-08-03,2026-07-21,PENDING,,,,TBD — Y if resolved starter = presumed baseline and no unresolved issue,TBD — Y only if the resolved starter is a meaningful up/downgrade vs the presumed baseline,
Vanderbilt,VAN,SEC,open competition,L,Jared Curtis (five-star true Fr) | Blaze Berlowitz (2 yrs in OC Tim Beck's system; Pavia's 2025 backup),,Not established — genuine open competition (Curtis vs Berlowitz); HC has not named a starter,"Official depth chart or HC naming of QB1 (Curtis or Berlowitz), or a clear 2+ source consensus once camp resolves",Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,WSMV / Yahoo Sports / Saturday Down South (Vanderbilt SEC Media Days),https://www.wsmv.com/2026/07/21/vanderbilt-qb-competition-headlines-commodores-sec-media-days-session/,2026-07-21,Fall camp early-Aug 2026; HC availability; game-week depth chart (competition may run to the opener vs Austin Peay),2026-08-03,2026-07-22,PENDING,,,,"N — stays L / UNCERTAIN; Phase 8.3 re-verification found a genuine competition, not an uncontested projected starter",TBD once resolved — likely 0 if the winner is the priced-in projected starter,"PHASE 8.3 RE-VERIFICATION (2026-07-22): the Phase 8.2 recommendation to reclassify VAN to Medium and zero-init was REJECTED. Fresh sourcing (Clark Lea at Vanderbilt's SEC Media Days session, 2026-07-21) confirms an ongoing Curtis vs Berlowitz competition that may not be decided before the opener; Berlowitz is a genuine veteran competitor (two seasons in OC Tim Beck's system, Diego Pavia's backup), not a mere backup, and Lea declined to name a starter. Fails both 'uncontested by a genuine equal competitor' and 'consistently projected Day-1 starter.' Vanderbilt stays L / UNCERTAIN — NOT reclassified, NOT initialized. See vanderbilt_verification_note.md."
Stanford,STAN,ACC,injury/availability,L,"Davis Warren (Michigan transfer, medical redshirt) | Dylan Rizk | Mike Mitchell Jr. (Fr)",Davis Warren,Not established (Warren injured; open),"Warren ACL recovery confirmed AND competition (Rizk, Mitchell Jr.) resolved to a starter",Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,"Sports Illustrated (ACC QB projections, May 14 2026) (2026-05-14)",https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season,,Fall camp early-Aug 2026; injury update; depth chart,2026-08-03,2026-07-21,PENDING,,,,TBD — Y if a healthy settled starter emerges,Possibly — depends on who wins and health,Both injury recovery AND an open competition to resolve.
Syracuse,SYR,ACC,injury/availability,L,Steve Angeli (Notre Dame transfer) | Amari Odom (Kennesaw State transfer),Steve Angeli,Not established (Angeli injured; Odom competing),Angeli Achilles recovery confirmed AND competition (Odom) resolved,Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,"Sports Illustrated (ACC QB projections, May 14 2026) (2026-05-14)",https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season,,Fall camp early-Aug 2026; injury update; depth chart,2026-08-03,2026-07-21,PENDING,,,,TBD — Y if healthy & named,Possibly — if a non-Angeli starter or limited Angeli,Achilles recovery timeline is the key gate.
Texas Tech,TTU,Big 12,injury/availability,L,"Will Hammond (promoted; torn ACL) | Kirk Francis (Tulsa transfer, fallback)",Will Hammond,Not established (Hammond injured; Francis fallback),"Hammond ACL medical clearance (~Aug 21, 2026) AND named starter; else Kirk Francis named",Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (Big 12 QB projections) (2026 offseason),https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season,,"~Aug 21, 2026 (ACL clearance); game-week depth chart",2026-08-21,2026-07-21,PENDING,,,,N until cleared & starting,Possibly — if Francis (or a not-fully-cleared Hammond) is a downgrade vs the presumed healthy Hammond,Injury + eligibility (gambling-investigation reference) cloud; re-confirm each week once resolved.
North Carolina,UNC,ACC,injury/availability,M,Billy Edwards Jr. (Wisconsin transfer) | Taron Dickens (Western Carolina transfer),Billy Edwards Jr.,Not established (Edwards presumed but injured/unsettled),Edwards confirmed fully healthy (PCL) AND established as QB1 (not merely 'inside track'),Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,"Sports Illustrated (ACC QB projections, May 14 2026) (2026-05-14)",https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season,,Fall camp early-Aug 2026; injury clearance; first depth chart,2026-08-03,2026-07-21,PENDING,,,,N until healthy & established (per instruction),Possibly — only if resolved starter is a meaningful downgrade vs a healthy Edwards baseline,DO NOT initialize until Edwards is healthy enough to participate normally and is the established projected starter.
Nebraska,NEB,Big Ten,conflicting/insufficient sourcing,L,"Anthony Colandrea (UNLV transfer — SI projects) | TJ Lateef (Yahoo projects) | Daniel Kaelin (Virginia transfer, option)",Anthony Colandrea,Not established (source conflict: Colandrea vs Lateef; Kaelin option),Reconcile SI (Colandrea) vs Yahoo (Lateef) via an official/coach statement or 2+ agreeing credible sources — do NOT pick the newest article,Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (Big Ten QB projections) (2026 offseason),https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season,,Fall camp; official depth chart; HC presser,2026-08-03,2026-07-21,PENDING,,,,TBD — Y once one starter is confirmed by consensus,Possibly — only if the confirmed starter is a clear up/downgrade vs the presumed baseline,Category = conflicting sourcing: two reputable outlets name different QB1s.
Tennessee,TENN,SEC,conflicting/insufficient sourcing,L,"Faizon Brandon (true Fr, high upside) | George MacIntyre (most system time, 9 career passes) | Ryan Staub (Colorado transfer, veteran)",Faizon Brandon,Not established (source conflict: Brandon vs MacIntyre; Staub veteran option),Reconcile SI (Brandon) vs Saturday Down South/Yahoo (MacIntyre); Staub also in mix — need official/coach statement or 2+ agreeing sources,Official team depth chart / athletics release; HC or OC press conference; established local beat writer; 247Sports/On3 camp reporting,Sports Illustrated (2026 offseason),https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season,,Fall camp; official depth chart; HC presser,2026-08-03,2026-07-21,PENDING,,,,TBD — Y once one starter is confirmed by consensus,Possibly — a true-freshman winner could warrant a small negative; a veteran winner likely 0,Category = conflicting sourcing; wide-open per multiple outlets.
