sheet,cell,row,column,live,authoritative,why
ENGINE,AB12,12,28,"=IF($AA12="""","""",IF(ABS($AA12)<SETTINGS!$B$8*2,"""",IF(ABS($AA12)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI12<>""READY"",ABS($AA12)<SETTINGS!$B$10*2,$AF12<>"""",$AG12<>""""),""INVESTIGATE"",""BET""))))","=IF($AA12="""","""",IF(ABS($AA12)<SETTINGS!$B$49,"""",IF(ABS($AA12)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI12<>""READY"",ABS($AA12)<SETTINGS!$B$51,$AF12<>"""",$AG12<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB13,13,28,"=IF($AA13="""","""",IF(ABS($AA13)<SETTINGS!$B$8*2,"""",IF(ABS($AA13)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI13<>""READY"",ABS($AA13)<SETTINGS!$B$10*2,$AF13<>"""",$AG13<>""""),""INVESTIGATE"",""BET""))))","=IF($AA13="""","""",IF(ABS($AA13)<SETTINGS!$B$49,"""",IF(ABS($AA13)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI13<>""READY"",ABS($AA13)<SETTINGS!$B$51,$AF13<>"""",$AG13<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB14,14,28,"=IF($AA14="""","""",IF(ABS($AA14)<SETTINGS!$B$8*2,"""",IF(ABS($AA14)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI14<>""READY"",ABS($AA14)<SETTINGS!$B$10*2,$AF14<>"""",$AG14<>""""),""INVESTIGATE"",""BET""))))","=IF($AA14="""","""",IF(ABS($AA14)<SETTINGS!$B$49,"""",IF(ABS($AA14)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI14<>""READY"",ABS($AA14)<SETTINGS!$B$51,$AF14<>"""",$AG14<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB15,15,28,"=IF($AA15="""","""",IF(ABS($AA15)<SETTINGS!$B$8*2,"""",IF(ABS($AA15)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI15<>""READY"",ABS($AA15)<SETTINGS!$B$10*2,$AF15<>"""",$AG15<>""""),""INVESTIGATE"",""BET""))))","=IF($AA15="""","""",IF(ABS($AA15)<SETTINGS!$B$49,"""",IF(ABS($AA15)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI15<>""READY"",ABS($AA15)<SETTINGS!$B$51,$AF15<>"""",$AG15<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB16,16,28,"=IF($AA16="""","""",IF(ABS($AA16)<SETTINGS!$B$8*2,"""",IF(ABS($AA16)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI16<>""READY"",ABS($AA16)<SETTINGS!$B$10*2,$AF16<>"""",$AG16<>""""),""INVESTIGATE"",""BET""))))","=IF($AA16="""","""",IF(ABS($AA16)<SETTINGS!$B$49,"""",IF(ABS($AA16)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI16<>""READY"",ABS($AA16)<SETTINGS!$B$51,$AF16<>"""",$AG16<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB17,17,28,"=IF($AA17="""","""",IF(ABS($AA17)<SETTINGS!$B$8*2,"""",IF(ABS($AA17)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI17<>""READY"",ABS($AA17)<SETTINGS!$B$10*2,$AF17<>"""",$AG17<>""""),""INVESTIGATE"",""BET""))))","=IF($AA17="""","""",IF(ABS($AA17)<SETTINGS!$B$49,"""",IF(ABS($AA17)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI17<>""READY"",ABS($AA17)<SETTINGS!$B$51,$AF17<>"""",$AG17<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB18,18,28,"=IF($AA18="""","""",IF(ABS($AA18)<SETTINGS!$B$8*2,"""",IF(ABS($AA18)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI18<>""READY"",ABS($AA18)<SETTINGS!$B$10*2,$AF18<>"""",$AG18<>""""),""INVESTIGATE"",""BET""))))","=IF($AA18="""","""",IF(ABS($AA18)<SETTINGS!$B$49,"""",IF(ABS($AA18)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI18<>""READY"",ABS($AA18)<SETTINGS!$B$51,$AF18<>"""",$AG18<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB19,19,28,"=IF($AA19="""","""",IF(ABS($AA19)<SETTINGS!$B$8*2,"""",IF(ABS($AA19)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI19<>""READY"",ABS($AA19)<SETTINGS!$B$10*2,$AF19<>"""",$AG19<>""""),""INVESTIGATE"",""BET""))))","=IF($AA19="""","""",IF(ABS($AA19)<SETTINGS!$B$49,"""",IF(ABS($AA19)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI19<>""READY"",ABS($AA19)<SETTINGS!$B$51,$AF19<>"""",$AG19<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB20,20,28,"=IF($AA20="""","""",IF(ABS($AA20)<SETTINGS!$B$8*2,"""",IF(ABS($AA20)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI20<>""READY"",ABS($AA20)<SETTINGS!$B$10*2,$AF20<>"""",$AG20<>""""),""INVESTIGATE"",""BET""))))","=IF($AA20="""","""",IF(ABS($AA20)<SETTINGS!$B$49,"""",IF(ABS($AA20)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI20<>""READY"",ABS($AA20)<SETTINGS!$B$51,$AF20<>"""",$AG20<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB21,21,28,"=IF($AA21="""","""",IF(ABS($AA21)<SETTINGS!$B$8*2,"""",IF(ABS($AA21)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI21<>""READY"",ABS($AA21)<SETTINGS!$B$10*2,$AF21<>"""",$AG21<>""""),""INVESTIGATE"",""BET""))))","=IF($AA21="""","""",IF(ABS($AA21)<SETTINGS!$B$49,"""",IF(ABS($AA21)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI21<>""READY"",ABS($AA21)<SETTINGS!$B$51,$AF21<>"""",$AG21<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB22,22,28,"=IF($AA22="""","""",IF(ABS($AA22)<SETTINGS!$B$8*2,"""",IF(ABS($AA22)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI22<>""READY"",ABS($AA22)<SETTINGS!$B$10*2,$AF22<>"""",$AG22<>""""),""INVESTIGATE"",""BET""))))","=IF($AA22="""","""",IF(ABS($AA22)<SETTINGS!$B$49,"""",IF(ABS($AA22)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI22<>""READY"",ABS($AA22)<SETTINGS!$B$51,$AF22<>"""",$AG22<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB23,23,28,"=IF($AA23="""","""",IF(ABS($AA23)<SETTINGS!$B$8*2,"""",IF(ABS($AA23)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI23<>""READY"",ABS($AA23)<SETTINGS!$B$10*2,$AF23<>"""",$AG23<>""""),""INVESTIGATE"",""BET""))))","=IF($AA23="""","""",IF(ABS($AA23)<SETTINGS!$B$49,"""",IF(ABS($AA23)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI23<>""READY"",ABS($AA23)<SETTINGS!$B$51,$AF23<>"""",$AG23<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB24,24,28,"=IF($AA24="""","""",IF(ABS($AA24)<SETTINGS!$B$8*2,"""",IF(ABS($AA24)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI24<>""READY"",ABS($AA24)<SETTINGS!$B$10*2,$AF24<>"""",$AG24<>""""),""INVESTIGATE"",""BET""))))","=IF($AA24="""","""",IF(ABS($AA24)<SETTINGS!$B$49,"""",IF(ABS($AA24)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI24<>""READY"",ABS($AA24)<SETTINGS!$B$51,$AF24<>"""",$AG24<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB25,25,28,"=IF($AA25="""","""",IF(ABS($AA25)<SETTINGS!$B$8*2,"""",IF(ABS($AA25)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI25<>""READY"",ABS($AA25)<SETTINGS!$B$10*2,$AF25<>"""",$AG25<>""""),""INVESTIGATE"",""BET""))))","=IF($AA25="""","""",IF(ABS($AA25)<SETTINGS!$B$49,"""",IF(ABS($AA25)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI25<>""READY"",ABS($AA25)<SETTINGS!$B$51,$AF25<>"""",$AG25<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB26,26,28,"=IF($AA26="""","""",IF(ABS($AA26)<SETTINGS!$B$8*2,"""",IF(ABS($AA26)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI26<>""READY"",ABS($AA26)<SETTINGS!$B$10*2,$AF26<>"""",$AG26<>""""),""INVESTIGATE"",""BET""))))","=IF($AA26="""","""",IF(ABS($AA26)<SETTINGS!$B$49,"""",IF(ABS($AA26)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI26<>""READY"",ABS($AA26)<SETTINGS!$B$51,$AF26<>"""",$AG26<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB27,27,28,"=IF($AA27="""","""",IF(ABS($AA27)<SETTINGS!$B$8*2,"""",IF(ABS($AA27)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI27<>""READY"",ABS($AA27)<SETTINGS!$B$10*2,$AF27<>"""",$AG27<>""""),""INVESTIGATE"",""BET""))))","=IF($AA27="""","""",IF(ABS($AA27)<SETTINGS!$B$49,"""",IF(ABS($AA27)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI27<>""READY"",ABS($AA27)<SETTINGS!$B$51,$AF27<>"""",$AG27<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB28,28,28,"=IF($AA28="""","""",IF(ABS($AA28)<SETTINGS!$B$8*2,"""",IF(ABS($AA28)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI28<>""READY"",ABS($AA28)<SETTINGS!$B$10*2,$AF28<>"""",$AG28<>""""),""INVESTIGATE"",""BET""))))","=IF($AA28="""","""",IF(ABS($AA28)<SETTINGS!$B$49,"""",IF(ABS($AA28)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI28<>""READY"",ABS($AA28)<SETTINGS!$B$51,$AF28<>"""",$AG28<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB29,29,28,"=IF($AA29="""","""",IF(ABS($AA29)<SETTINGS!$B$8*2,"""",IF(ABS($AA29)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI29<>""READY"",ABS($AA29)<SETTINGS!$B$10*2,$AF29<>"""",$AG29<>""""),""INVESTIGATE"",""BET""))))","=IF($AA29="""","""",IF(ABS($AA29)<SETTINGS!$B$49,"""",IF(ABS($AA29)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI29<>""READY"",ABS($AA29)<SETTINGS!$B$51,$AF29<>"""",$AG29<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB30,30,28,"=IF($AA30="""","""",IF(ABS($AA30)<SETTINGS!$B$8*2,"""",IF(ABS($AA30)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI30<>""READY"",ABS($AA30)<SETTINGS!$B$10*2,$AF30<>"""",$AG30<>""""),""INVESTIGATE"",""BET""))))","=IF($AA30="""","""",IF(ABS($AA30)<SETTINGS!$B$49,"""",IF(ABS($AA30)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI30<>""READY"",ABS($AA30)<SETTINGS!$B$51,$AF30<>"""",$AG30<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB31,31,28,"=IF($AA31="""","""",IF(ABS($AA31)<SETTINGS!$B$8*2,"""",IF(ABS($AA31)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI31<>""READY"",ABS($AA31)<SETTINGS!$B$10*2,$AF31<>"""",$AG31<>""""),""INVESTIGATE"",""BET""))))","=IF($AA31="""","""",IF(ABS($AA31)<SETTINGS!$B$49,"""",IF(ABS($AA31)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI31<>""READY"",ABS($AA31)<SETTINGS!$B$51,$AF31<>"""",$AG31<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB32,32,28,"=IF($AA32="""","""",IF(ABS($AA32)<SETTINGS!$B$8*2,"""",IF(ABS($AA32)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI32<>""READY"",ABS($AA32)<SETTINGS!$B$10*2,$AF32<>"""",$AG32<>""""),""INVESTIGATE"",""BET""))))","=IF($AA32="""","""",IF(ABS($AA32)<SETTINGS!$B$49,"""",IF(ABS($AA32)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI32<>""READY"",ABS($AA32)<SETTINGS!$B$51,$AF32<>"""",$AG32<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB33,33,28,"=IF($AA33="""","""",IF(ABS($AA33)<SETTINGS!$B$8*2,"""",IF(ABS($AA33)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI33<>""READY"",ABS($AA33)<SETTINGS!$B$10*2,$AF33<>"""",$AG33<>""""),""INVESTIGATE"",""BET""))))","=IF($AA33="""","""",IF(ABS($AA33)<SETTINGS!$B$49,"""",IF(ABS($AA33)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI33<>""READY"",ABS($AA33)<SETTINGS!$B$51,$AF33<>"""",$AG33<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB34,34,28,"=IF($AA34="""","""",IF(ABS($AA34)<SETTINGS!$B$8*2,"""",IF(ABS($AA34)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI34<>""READY"",ABS($AA34)<SETTINGS!$B$10*2,$AF34<>"""",$AG34<>""""),""INVESTIGATE"",""BET""))))","=IF($AA34="""","""",IF(ABS($AA34)<SETTINGS!$B$49,"""",IF(ABS($AA34)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI34<>""READY"",ABS($AA34)<SETTINGS!$B$51,$AF34<>"""",$AG34<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB35,35,28,"=IF($AA35="""","""",IF(ABS($AA35)<SETTINGS!$B$8*2,"""",IF(ABS($AA35)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI35<>""READY"",ABS($AA35)<SETTINGS!$B$10*2,$AF35<>"""",$AG35<>""""),""INVESTIGATE"",""BET""))))","=IF($AA35="""","""",IF(ABS($AA35)<SETTINGS!$B$49,"""",IF(ABS($AA35)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI35<>""READY"",ABS($AA35)<SETTINGS!$B$51,$AF35<>"""",$AG35<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB36,36,28,"=IF($AA36="""","""",IF(ABS($AA36)<SETTINGS!$B$8*2,"""",IF(ABS($AA36)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI36<>""READY"",ABS($AA36)<SETTINGS!$B$10*2,$AF36<>"""",$AG36<>""""),""INVESTIGATE"",""BET""))))","=IF($AA36="""","""",IF(ABS($AA36)<SETTINGS!$B$49,"""",IF(ABS($AA36)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI36<>""READY"",ABS($AA36)<SETTINGS!$B$51,$AF36<>"""",$AG36<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB37,37,28,"=IF($AA37="""","""",IF(ABS($AA37)<SETTINGS!$B$8*2,"""",IF(ABS($AA37)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI37<>""READY"",ABS($AA37)<SETTINGS!$B$10*2,$AF37<>"""",$AG37<>""""),""INVESTIGATE"",""BET""))))","=IF($AA37="""","""",IF(ABS($AA37)<SETTINGS!$B$49,"""",IF(ABS($AA37)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI37<>""READY"",ABS($AA37)<SETTINGS!$B$51,$AF37<>"""",$AG37<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
ENGINE,AB38,38,28,"=IF($AA38="""","""",IF(ABS($AA38)<SETTINGS!$B$8*2,"""",IF(ABS($AA38)<SETTINGS!$B$9*2,""LEAN"",IF(OR(SETTINGS!$B$11<>""Y"",$AI38<>""READY"",ABS($AA38)<SETTINGS!$B$10*2,$AF38<>"""",$AG38<>""""),""INVESTIGATE"",""BET""))))","=IF($AA38="""","""",IF(ABS($AA38)<SETTINGS!$B$49,"""",IF(ABS($AA38)<SETTINGS!$B$50,""LEAN"",IF(OR(SETTINGS!$B$52<>""Y"",$AI38<>""READY"",ABS($AA38)<SETTINGS!$B$51,$AF38<>"""",$AG38<>""""),""INVESTIGATE"",""BET""))))",sync to authoritative v0.8.9
