sheet	cell	v0.5.1_value	v0.5.2_value
ENGINE	AI17	'=IF($A17="","",IF($AH17<>"","BLOCKED",IF($AG17<>"","FCS — NO PLAY",IF(CALC!$S17=1,"PENDING LINE",IF(CALC!$Q17=1,"STALE LINE",IF($AE17="QB UNCERTAIN","QB UNCERTAIN",IF($AF17<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B17="",$C17=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A17="","",IF($AH17<>"","BLOCKED",IF($AG17<>"","FCS — NO PLAY",IF(CALC!$S17=1,"PENDING LINE",IF(CALC!$Q17=1,"STALE LINE",IF($AE17="QB UNCERTAIN","QB UNCERTAIN",IF($AF17<>"","TRANSITION UNCERTAIN",IF(OR($B17="",$C17=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI18	'=IF($A18="","",IF($AH18<>"","BLOCKED",IF($AG18<>"","FCS — NO PLAY",IF(CALC!$S18=1,"PENDING LINE",IF(CALC!$Q18=1,"STALE LINE",IF($AE18="QB UNCERTAIN","QB UNCERTAIN",IF($AF18<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B18="",$C18=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A18="","",IF($AH18<>"","BLOCKED",IF($AG18<>"","FCS — NO PLAY",IF(CALC!$S18=1,"PENDING LINE",IF(CALC!$Q18=1,"STALE LINE",IF($AE18="QB UNCERTAIN","QB UNCERTAIN",IF($AF18<>"","TRANSITION UNCERTAIN",IF(OR($B18="",$C18=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI19	'=IF($A19="","",IF($AH19<>"","BLOCKED",IF($AG19<>"","FCS — NO PLAY",IF(CALC!$S19=1,"PENDING LINE",IF(CALC!$Q19=1,"STALE LINE",IF($AE19="QB UNCERTAIN","QB UNCERTAIN",IF($AF19<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B19="",$C19=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A19="","",IF($AH19<>"","BLOCKED",IF($AG19<>"","FCS — NO PLAY",IF(CALC!$S19=1,"PENDING LINE",IF(CALC!$Q19=1,"STALE LINE",IF($AE19="QB UNCERTAIN","QB UNCERTAIN",IF($AF19<>"","TRANSITION UNCERTAIN",IF(OR($B19="",$C19=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI20	'=IF($A20="","",IF($AH20<>"","BLOCKED",IF($AG20<>"","FCS — NO PLAY",IF(CALC!$S20=1,"PENDING LINE",IF(CALC!$Q20=1,"STALE LINE",IF($AE20="QB UNCERTAIN","QB UNCERTAIN",IF($AF20<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B20="",$C20=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A20="","",IF($AH20<>"","BLOCKED",IF($AG20<>"","FCS — NO PLAY",IF(CALC!$S20=1,"PENDING LINE",IF(CALC!$Q20=1,"STALE LINE",IF($AE20="QB UNCERTAIN","QB UNCERTAIN",IF($AF20<>"","TRANSITION UNCERTAIN",IF(OR($B20="",$C20=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI21	'=IF($A21="","",IF($AH21<>"","BLOCKED",IF($AG21<>"","FCS — NO PLAY",IF(CALC!$S21=1,"PENDING LINE",IF(CALC!$Q21=1,"STALE LINE",IF($AE21="QB UNCERTAIN","QB UNCERTAIN",IF($AF21<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B21="",$C21=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A21="","",IF($AH21<>"","BLOCKED",IF($AG21<>"","FCS — NO PLAY",IF(CALC!$S21=1,"PENDING LINE",IF(CALC!$Q21=1,"STALE LINE",IF($AE21="QB UNCERTAIN","QB UNCERTAIN",IF($AF21<>"","TRANSITION UNCERTAIN",IF(OR($B21="",$C21=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI22	'=IF($A22="","",IF($AH22<>"","BLOCKED",IF($AG22<>"","FCS — NO PLAY",IF(CALC!$S22=1,"PENDING LINE",IF(CALC!$Q22=1,"STALE LINE",IF($AE22="QB UNCERTAIN","QB UNCERTAIN",IF($AF22<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B22="",$C22=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A22="","",IF($AH22<>"","BLOCKED",IF($AG22<>"","FCS — NO PLAY",IF(CALC!$S22=1,"PENDING LINE",IF(CALC!$Q22=1,"STALE LINE",IF($AE22="QB UNCERTAIN","QB UNCERTAIN",IF($AF22<>"","TRANSITION UNCERTAIN",IF(OR($B22="",$C22=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI23	'=IF($A23="","",IF($AH23<>"","BLOCKED",IF($AG23<>"","FCS — NO PLAY",IF(CALC!$S23=1,"PENDING LINE",IF(CALC!$Q23=1,"STALE LINE",IF($AE23="QB UNCERTAIN","QB UNCERTAIN",IF($AF23<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B23="",$C23=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A23="","",IF($AH23<>"","BLOCKED",IF($AG23<>"","FCS — NO PLAY",IF(CALC!$S23=1,"PENDING LINE",IF(CALC!$Q23=1,"STALE LINE",IF($AE23="QB UNCERTAIN","QB UNCERTAIN",IF($AF23<>"","TRANSITION UNCERTAIN",IF(OR($B23="",$C23=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI24	'=IF($A24="","",IF($AH24<>"","BLOCKED",IF($AG24<>"","FCS — NO PLAY",IF(CALC!$S24=1,"PENDING LINE",IF(CALC!$Q24=1,"STALE LINE",IF($AE24="QB UNCERTAIN","QB UNCERTAIN",IF($AF24<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B24="",$C24=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A24="","",IF($AH24<>"","BLOCKED",IF($AG24<>"","FCS — NO PLAY",IF(CALC!$S24=1,"PENDING LINE",IF(CALC!$Q24=1,"STALE LINE",IF($AE24="QB UNCERTAIN","QB UNCERTAIN",IF($AF24<>"","TRANSITION UNCERTAIN",IF(OR($B24="",$C24=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI25	'=IF($A25="","",IF($AH25<>"","BLOCKED",IF($AG25<>"","FCS — NO PLAY",IF(CALC!$S25=1,"PENDING LINE",IF(CALC!$Q25=1,"STALE LINE",IF($AE25="QB UNCERTAIN","QB UNCERTAIN",IF($AF25<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B25="",$C25=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A25="","",IF($AH25<>"","BLOCKED",IF($AG25<>"","FCS — NO PLAY",IF(CALC!$S25=1,"PENDING LINE",IF(CALC!$Q25=1,"STALE LINE",IF($AE25="QB UNCERTAIN","QB UNCERTAIN",IF($AF25<>"","TRANSITION UNCERTAIN",IF(OR($B25="",$C25=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI26	'=IF($A26="","",IF($AH26<>"","BLOCKED",IF($AG26<>"","FCS — NO PLAY",IF(CALC!$S26=1,"PENDING LINE",IF(CALC!$Q26=1,"STALE LINE",IF($AE26="QB UNCERTAIN","QB UNCERTAIN",IF($AF26<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B26="",$C26=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A26="","",IF($AH26<>"","BLOCKED",IF($AG26<>"","FCS — NO PLAY",IF(CALC!$S26=1,"PENDING LINE",IF(CALC!$Q26=1,"STALE LINE",IF($AE26="QB UNCERTAIN","QB UNCERTAIN",IF($AF26<>"","TRANSITION UNCERTAIN",IF(OR($B26="",$C26=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI27	'=IF($A27="","",IF($AH27<>"","BLOCKED",IF($AG27<>"","FCS — NO PLAY",IF(CALC!$S27=1,"PENDING LINE",IF(CALC!$Q27=1,"STALE LINE",IF($AE27="QB UNCERTAIN","QB UNCERTAIN",IF($AF27<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B27="",$C27=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A27="","",IF($AH27<>"","BLOCKED",IF($AG27<>"","FCS — NO PLAY",IF(CALC!$S27=1,"PENDING LINE",IF(CALC!$Q27=1,"STALE LINE",IF($AE27="QB UNCERTAIN","QB UNCERTAIN",IF($AF27<>"","TRANSITION UNCERTAIN",IF(OR($B27="",$C27=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI28	'=IF($A28="","",IF($AH28<>"","BLOCKED",IF($AG28<>"","FCS — NO PLAY",IF(CALC!$S28=1,"PENDING LINE",IF(CALC!$Q28=1,"STALE LINE",IF($AE28="QB UNCERTAIN","QB UNCERTAIN",IF($AF28<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B28="",$C28=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A28="","",IF($AH28<>"","BLOCKED",IF($AG28<>"","FCS — NO PLAY",IF(CALC!$S28=1,"PENDING LINE",IF(CALC!$Q28=1,"STALE LINE",IF($AE28="QB UNCERTAIN","QB UNCERTAIN",IF($AF28<>"","TRANSITION UNCERTAIN",IF(OR($B28="",$C28=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI29	'=IF($A29="","",IF($AH29<>"","BLOCKED",IF($AG29<>"","FCS — NO PLAY",IF(CALC!$S29=1,"PENDING LINE",IF(CALC!$Q29=1,"STALE LINE",IF($AE29="QB UNCERTAIN","QB UNCERTAIN",IF($AF29<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B29="",$C29=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A29="","",IF($AH29<>"","BLOCKED",IF($AG29<>"","FCS — NO PLAY",IF(CALC!$S29=1,"PENDING LINE",IF(CALC!$Q29=1,"STALE LINE",IF($AE29="QB UNCERTAIN","QB UNCERTAIN",IF($AF29<>"","TRANSITION UNCERTAIN",IF(OR($B29="",$C29=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI30	'=IF($A30="","",IF($AH30<>"","BLOCKED",IF($AG30<>"","FCS — NO PLAY",IF(CALC!$S30=1,"PENDING LINE",IF(CALC!$Q30=1,"STALE LINE",IF($AE30="QB UNCERTAIN","QB UNCERTAIN",IF($AF30<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B30="",$C30=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A30="","",IF($AH30<>"","BLOCKED",IF($AG30<>"","FCS — NO PLAY",IF(CALC!$S30=1,"PENDING LINE",IF(CALC!$Q30=1,"STALE LINE",IF($AE30="QB UNCERTAIN","QB UNCERTAIN",IF($AF30<>"","TRANSITION UNCERTAIN",IF(OR($B30="",$C30=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI31	'=IF($A31="","",IF($AH31<>"","BLOCKED",IF($AG31<>"","FCS — NO PLAY",IF(CALC!$S31=1,"PENDING LINE",IF(CALC!$Q31=1,"STALE LINE",IF($AE31="QB UNCERTAIN","QB UNCERTAIN",IF($AF31<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B31="",$C31=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A31="","",IF($AH31<>"","BLOCKED",IF($AG31<>"","FCS — NO PLAY",IF(CALC!$S31=1,"PENDING LINE",IF(CALC!$Q31=1,"STALE LINE",IF($AE31="QB UNCERTAIN","QB UNCERTAIN",IF($AF31<>"","TRANSITION UNCERTAIN",IF(OR($B31="",$C31=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI32	'=IF($A32="","",IF($AH32<>"","BLOCKED",IF($AG32<>"","FCS — NO PLAY",IF(CALC!$S32=1,"PENDING LINE",IF(CALC!$Q32=1,"STALE LINE",IF($AE32="QB UNCERTAIN","QB UNCERTAIN",IF($AF32<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B32="",$C32=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A32="","",IF($AH32<>"","BLOCKED",IF($AG32<>"","FCS — NO PLAY",IF(CALC!$S32=1,"PENDING LINE",IF(CALC!$Q32=1,"STALE LINE",IF($AE32="QB UNCERTAIN","QB UNCERTAIN",IF($AF32<>"","TRANSITION UNCERTAIN",IF(OR($B32="",$C32=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI33	'=IF($A33="","",IF($AH33<>"","BLOCKED",IF($AG33<>"","FCS — NO PLAY",IF(CALC!$S33=1,"PENDING LINE",IF(CALC!$Q33=1,"STALE LINE",IF($AE33="QB UNCERTAIN","QB UNCERTAIN",IF($AF33<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B33="",$C33=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A33="","",IF($AH33<>"","BLOCKED",IF($AG33<>"","FCS — NO PLAY",IF(CALC!$S33=1,"PENDING LINE",IF(CALC!$Q33=1,"STALE LINE",IF($AE33="QB UNCERTAIN","QB UNCERTAIN",IF($AF33<>"","TRANSITION UNCERTAIN",IF(OR($B33="",$C33=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI34	'=IF($A34="","",IF($AH34<>"","BLOCKED",IF($AG34<>"","FCS — NO PLAY",IF(CALC!$S34=1,"PENDING LINE",IF(CALC!$Q34=1,"STALE LINE",IF($AE34="QB UNCERTAIN","QB UNCERTAIN",IF($AF34<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B34="",$C34=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A34="","",IF($AH34<>"","BLOCKED",IF($AG34<>"","FCS — NO PLAY",IF(CALC!$S34=1,"PENDING LINE",IF(CALC!$Q34=1,"STALE LINE",IF($AE34="QB UNCERTAIN","QB UNCERTAIN",IF($AF34<>"","TRANSITION UNCERTAIN",IF(OR($B34="",$C34=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI35	'=IF($A35="","",IF($AH35<>"","BLOCKED",IF($AG35<>"","FCS — NO PLAY",IF(CALC!$S35=1,"PENDING LINE",IF(CALC!$Q35=1,"STALE LINE",IF($AE35="QB UNCERTAIN","QB UNCERTAIN",IF($AF35<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B35="",$C35=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A35="","",IF($AH35<>"","BLOCKED",IF($AG35<>"","FCS — NO PLAY",IF(CALC!$S35=1,"PENDING LINE",IF(CALC!$Q35=1,"STALE LINE",IF($AE35="QB UNCERTAIN","QB UNCERTAIN",IF($AF35<>"","TRANSITION UNCERTAIN",IF(OR($B35="",$C35=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI36	'=IF($A36="","",IF($AH36<>"","BLOCKED",IF($AG36<>"","FCS — NO PLAY",IF(CALC!$S36=1,"PENDING LINE",IF(CALC!$Q36=1,"STALE LINE",IF($AE36="QB UNCERTAIN","QB UNCERTAIN",IF($AF36<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B36="",$C36=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A36="","",IF($AH36<>"","BLOCKED",IF($AG36<>"","FCS — NO PLAY",IF(CALC!$S36=1,"PENDING LINE",IF(CALC!$Q36=1,"STALE LINE",IF($AE36="QB UNCERTAIN","QB UNCERTAIN",IF($AF36<>"","TRANSITION UNCERTAIN",IF(OR($B36="",$C36=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI37	'=IF($A37="","",IF($AH37<>"","BLOCKED",IF($AG37<>"","FCS — NO PLAY",IF(CALC!$S37=1,"PENDING LINE",IF(CALC!$Q37=1,"STALE LINE",IF($AE37="QB UNCERTAIN","QB UNCERTAIN",IF($AF37<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B37="",$C37=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A37="","",IF($AH37<>"","BLOCKED",IF($AG37<>"","FCS — NO PLAY",IF(CALC!$S37=1,"PENDING LINE",IF(CALC!$Q37=1,"STALE LINE",IF($AE37="QB UNCERTAIN","QB UNCERTAIN",IF($AF37<>"","TRANSITION UNCERTAIN",IF(OR($B37="",$C37=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI38	'=IF($A38="","",IF($AH38<>"","BLOCKED",IF($AG38<>"","FCS — NO PLAY",IF(CALC!$S38=1,"PENDING LINE",IF(CALC!$Q38=1,"STALE LINE",IF($AE38="QB UNCERTAIN","QB UNCERTAIN",IF($AF38<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B38="",$C38=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A38="","",IF($AH38<>"","BLOCKED",IF($AG38<>"","FCS — NO PLAY",IF(CALC!$S38=1,"PENDING LINE",IF(CALC!$Q38=1,"STALE LINE",IF($AE38="QB UNCERTAIN","QB UNCERTAIN",IF($AF38<>"","TRANSITION UNCERTAIN",IF(OR($B38="",$C38=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI39	'=IF($A39="","",IF($AH39<>"","BLOCKED",IF($AG39<>"","FCS — NO PLAY",IF(CALC!$S39=1,"PENDING LINE",IF(CALC!$Q39=1,"STALE LINE",IF($AE39="QB UNCERTAIN","QB UNCERTAIN",IF($AF39<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B39="",$C39=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A39="","",IF($AH39<>"","BLOCKED",IF($AG39<>"","FCS — NO PLAY",IF(CALC!$S39=1,"PENDING LINE",IF(CALC!$Q39=1,"STALE LINE",IF($AE39="QB UNCERTAIN","QB UNCERTAIN",IF($AF39<>"","TRANSITION UNCERTAIN",IF(OR($B39="",$C39=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI40	'=IF($A40="","",IF($AH40<>"","BLOCKED",IF($AG40<>"","FCS — NO PLAY",IF(CALC!$S40=1,"PENDING LINE",IF(CALC!$Q40=1,"STALE LINE",IF($AE40="QB UNCERTAIN","QB UNCERTAIN",IF($AF40<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B40="",$C40=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A40="","",IF($AH40<>"","BLOCKED",IF($AG40<>"","FCS — NO PLAY",IF(CALC!$S40=1,"PENDING LINE",IF(CALC!$Q40=1,"STALE LINE",IF($AE40="QB UNCERTAIN","QB UNCERTAIN",IF($AF40<>"","TRANSITION UNCERTAIN",IF(OR($B40="",$C40=""),"DATA INCOMPLETE","READY"))))))))'
ENGINE	AI41	'=IF($A41="","",IF($AH41<>"","BLOCKED",IF($AG41<>"","FCS — NO PLAY",IF(CALC!$S41=1,"PENDING LINE",IF(CALC!$Q41=1,"STALE LINE",IF($AE41="QB UNCERTAIN","QB UNCERTAIN",IF($AF41<>"","FCS/TRANSITION UNCERTAIN",IF(OR($B41="",$C41=""),"DATA INCOMPLETE","READY"))))))))'	'=IF($A41="","",IF($AH41<>"","BLOCKED",IF($AG41<>"","FCS — NO PLAY",IF(CALC!$S41=1,"PENDING LINE",IF(CALC!$Q41=1,"STALE LINE",IF($AE41="QB UNCERTAIN","QB UNCERTAIN",IF($AF41<>"","TRANSITION UNCERTAIN",IF(OR($B41="",$C41=""),"DATA INCOMPLETE","READY"))))))))'
