sheet,cell,row,team,change_class,old,new,is_numeric_zero
QB VALUES,L9,9,Florida,ACTIVATION,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms an open competition - Aaron Philo (Georgia Tech transfer, reunited with OC Buster Faulkner) vs Tramell Jones (RS freshman). Philo is FAVORED and 'holds the edge entering fall camp' on the strength of a more consistent spring, but NO starter has been named and the competition is live. Under the 7D.5 rule that a starter must not be inferred from a preseason projection, a media 'edge' characterization without a staff naming does not clear the M bar -> L retained (consistent with the Colorado State treatment); values blank; UNCERTAIN. RECHECK: Florida depth chart.","2026-08-25 ACTIVATED, confidence L -> H. HC Jon Sumrall publicly announced Aaron Philo as the starting quarterback on Monday 2026-08-24, and the OFFICIAL Florida Athletics site published 'Philo Moves to Top of QB Depth Chart' the same day. Sumrall on the record: 'Philo will get the lion's share of reps with the ones as we start to try to create cohesion within our football team to be ready for game one', adding 'I thought he protected the football, made good decisions Saturday.' Philo, a Georgia Tech transfer reunited with OC Buster Faulkner, beat out RS freshman Tramell Jones Jr. H because this is an official team release PLUS a head-coach announcement. RECORDED CAVEAT: Sumrall also said 'I talked to Aaron this is not an anointing. (This) is not some permanent, you're the starter forever' - a caution about permanence, not a hedge on who starts Week 1. SUPERSEDES the 2026-08-04 entry. BASELINE MATCH: that entry already recorded Philo as FAVORED, holding 'the edge entering fall camp'. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported FAU debut matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Florida Atlantic Owls @ Florida Gators). Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,E21,21,Vanderbilt,TEXT CORRECTION,Jared Curtis,Open (Jared Curtis / Blaze Berlowitz / Whit Muschamp),False
QB VALUES,I21,21,Vanderbilt,TEXT CORRECTION,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),"On3 + SI Vanderbilt + WSMV fall-camp reporting, 2026-08 (https://www.wsmv.com/2026/08/05/quarterback-competition-continues-dores-open-practice/)",False
QB VALUES,K21,21,Vanderbilt,TEXT CORRECTION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L21,21,Vanderbilt,TEXT CORRECTION,"VERIFIED 7D.5 2026-08-04 - CLOSES THE PHASE 8.3 FAILED RE-VERIFICATION: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Jared Curtis (No. 2 overall recruit, true freshman) vs Blaze Berlowitz (veteran who backed up Diego Pavia in 2025). Curtis is FAVORED, with staff saying 'He's as good as we hoped he'd be', but the competition REMAINS OPEN and undecided entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN. Vanderbilt's record is now substantiated in-workbook for the first time.","VERIFIED 7D.5 2026-08-04 - CLOSES THE PHASE 8.3 FAILED RE-VERIFICATION: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Jared Curtis (No. 2 overall recruit, true freshman) vs Blaze Berlowitz (veteran who backed up Diego Pavia in 2025). Curtis is FAVORED, with staff saying 'He's as good as we hoped he'd be', but the competition REMAINS OPEN and undecided entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN. Vanderbilt's record is now substantiated in-workbook for the first time. 2026-08-25 RECORD CORRECTION (data quality only; confidence L UNCHANGED, status remains UNCERTAIN, numerical values remain BLANK). The candidate field named Jared Curtis alone. The race is THREE-WAY - Jared Curtis, Blaze Berlowitz and Whit Muschamp - replacing Diego Pavia. Through 15 fall-camp practices the staff gave Curtis and Berlowitz every chance to separate and NEITHER DID. Curtis, the No. 1 QB in the 2026 class, is widely described as the favourite, but favourite is not named, and HC Clark Lea plans to name the starter PRIVATELY in the team room. RECHECK: Lea naming or a Week 1 depth chart.",False
QB VALUES,C29,29,Nebraska,ACTIVATION,,Anthony Colandrea,False
QB VALUES,D29,29,Nebraska,ACTIVATION,,0,True
QB VALUES,F29,29,Nebraska,ACTIVATION,,0,True
QB VALUES,H29,29,Nebraska,ACTIVATION,L,H,False
QB VALUES,I29,29,Nebraska,ACTIVATION,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),"HC Matt Rhule announcement 2026-08-22, reported 2026-08-24 (https://klin.com/2026/08/24/colandrea-named-starting-qb-for-opener/)",False
QB VALUES,K29,29,Nebraska,ACTIVATION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L29,29,Nebraska,ACTIVATION,"VERIFIED 7D.5 2026-08-04: Nebraska added ANTHONY COLANDREA from the portal - the 2025 MOUNTAIN WEST PLAYER OF THE YEAR at UNLV (3,459 pass yds, 23 TD) - joining returner TJ Lateef. This confirms the entry's candidate list. No starter has been named and no staff statement establishing a leader was located; a high-profile transfer arriving is not by itself evidence of a settled job. -> L retained; values blank; UNCERTAIN. EVIDENCE NOTE: this is the thinnest of the 7D.5 confirmations - the transfer is documented, the competition's state is inferred from the absence of a naming. RECHECK: Nebraska depth chart.","2026-08-25 ACTIVATED, confidence L -> H. HC Matt Rhule announced on Saturday 2026-08-22 that Anthony Colandrea will be Nebraska's starting quarterback for the season opener against Ohio; multiple outlets carried it as 'Nebraska officially names starting quarterback'. Rhule said Daniel Kaelin and TJ Lateef continue to compete for the No. 2 role. H because this is a head-coach announcement, the same tier as Alabama/DeBoer, Tennessee/Heupel and Florida/Sumrall. SUPERSEDES the 2026-08-04 entry, which recorded no starter named. BASELINE MATCH: Colandrea, the 2025 Mountain West Player of the Year, was already the recorded active candidate. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported Ohio opener matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Ohio Bobcats @ Nebraska Cornhuskers), which also cross-checks the Ohio activation on row 113. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,E48,48,Kansas,TEXT CORRECTION,Cole Ballard (leader; Isaiah Marshall competing),Open (Cole Ballard / Isaiah Marshall),False
QB VALUES,I48,48,Kansas,TEXT CORRECTION,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),"Yahoo Sports + WIBW fall-camp reporting, 2026-08 (https://www.wibw.com/2026/08/05/kus-quarterback-race-remains-open/)",False
QB VALUES,K48,48,Kansas,TEXT CORRECTION,2026-08-03 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L48,48,Kansas,TEXT CORRECTION,"VERIFIED 2026-08-03: Cole Ballard 'MAY BE' Kansas's QB1 (SI headline wording) replacing Jalon Daniels, with real competition from Isaiah Marshall - Ballard the better thrower, Marshall the better runner; Kansas QBs described as 'totally fine with competition heading into camp.' Ballard confirmed on the official kuathletics.com roster. No naming by Lance Leipold located -> L retained. This confirms the Phase 7D.3 decision NOT to upgrade on a national projected-starter list alone. Values remain blank; UNCERTAIN.","VERIFIED 2026-08-03: Cole Ballard 'MAY BE' Kansas's QB1 (SI headline wording) replacing Jalon Daniels, with real competition from Isaiah Marshall - Ballard the better thrower, Marshall the better runner; Kansas QBs described as 'totally fine with competition heading into camp.' Ballard confirmed on the official kuathletics.com roster. No naming by Lance Leipold located -> L retained. This confirms the Phase 7D.3 decision NOT to upgrade on a national projected-starter list alone. Values remain blank; UNCERTAIN. 2026-08-25 RECORD CORRECTION (data quality only; confidence L UNCHANGED, status remains UNCERTAIN, numerical values remain BLANK). The candidate field described Cole Ballard as the LEADER; that framing is not supported. HC Lance Leipold: 'We're still in a very, very competitive quarterback battle right now. Both continue to do a lot of good things.' Ballard and Isaiah Marshall continue to split first-team reps and Leipold has set NO TIMETABLE, adding 'there's a very high probability that you'll see both quarterbacks play in games this year.' Rice transfer Chase Jenkins is in the room but is NOT carried in the active competition field, since Leipold's own remarks name only Ballard and Marshall. RECHECK: Leipold naming or a Week 1 depth chart.",False
QB VALUES,C76,76,Oregon State,RECORD ONLY (no zeros),,Maalik Murphy,False
QB VALUES,E76,76,Oregon State,RECORD ONLY (no zeros),Maalik Murphy (leader; Braden Atkinson pushing),Braden Atkinson,False
QB VALUES,I76,76,Oregon State,RECORD ONLY (no zeros),Athlon/ESPN/CBS Pac-12 2026 previews (https://www.espn.com/college-football/story/_/id/48892618/2026-college-football-pac-12-conference-preview-predictions-transfers-more),ESPN / Pete Thamel via Columbia County Spotlight + Portland Tribune 2026-08-24 (https://columbiacountyspotlight.com/2026/08/24/oregon-state-names-braden-atkinson-starting-qb/),False
QB VALUES,K76,76,Oregon State,RECORD ONLY (no zeros),2026-08-03 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L76,76,Oregon State,RECORD ONLY (no zeros),"VERIFIED 2026-08-03 (with documented tension): SI headline reports ex-Texas QB Maalik Murphy NAMED STARTER at Oregon State, while SI's Pac-12 QB tiers describe Murphy with 'a slight upper hand' and a young FCS transfer 'right on his tail in fall camp.' Both agree Murphy LEADS. Clear leader -> L upgraded to M (NOT H, because the naming claim is contradicted by active-competition language). Per the L->M rule values REMAIN BLANK; status stays UNCERTAIN. RECHECK: official Oregon State depth chart.","2026-08-25 RECORD CORRECTION - STARTER CHANGED, VALUATION DEFERRED (confidence M UNCHANGED, numerical values REMAIN BLANK, status stays UNCERTAIN). ESPN's Pete Thamel reported 2026-08-24 that Oregon State named BRADEN ATKINSON its starting quarterback for week one at Houston; Atkinson, a Mercer transfer and the reigning Jerry Rice Award winner, beat out incumbent MAALIK MURPHY and Brady Jones. A local report adds that the Oregon State football account subsequently confirmed it, but that first-party act is secondhand and is NOT relied on -> M, not H. SUPERSEDES the 2026-08-03 entry, which recorded Murphy as the leader. BASELINE MISMATCH - THE REASON NO ZEROS ARE WRITTEN: this is the first row in the project where the named starter is NOT the quarterback the preseason blend assumed. Column C preserves MAALIK MURPHY as the preseason baseline because the preseason rating priced Oregon State with Murphy, its returning starter. Writing 0/0 would assert that the Murphy-to-Atkinson change is worth exactly zero, which is a valuation claim the deviation-only convention was never intended to carry. Values therefore REMAIN BLANK and the row stays UNCERTAIN pending the QB-value rubric. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported week-one game at Houston matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Oregon State Beavers @ Houston Cougars, TDECU Stadium). RECHECK: official Oregon State depth chart, and the QB-value rubric.",False
QB VALUES,E85,85,Memphis,TEXT CORRECTION,Marcus Stokes,Marcus Stokes / Air Noland; decision withheld until kickoff.,False
QB VALUES,I85,85,Memphis,TEXT CORRECTION,Underdog Dynasty/Yahoo (American 2026 QB projections) (https://sports.yahoo.com/articles/projecting-14-american-starting-qbs-150000080.html),"Daily Memphian / Yahoo Sports beat reporting, 2026-08-24 (https://sports.yahoo.com/articles/charles-huff-name-starting-quarterback-012920149.html)",False
QB VALUES,K85,85,Memphis,TEXT CORRECTION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L85,85,Memphis,TEXT CORRECTION,VERIFIED 7D.5 2026-08-04: Memphis's quarterback battle is 'CLOSE and will likely be one of the LATER ONES SETTLED in the American.' FIRST-YEAR HC CHARLES HUFF must choose between two transfers with contrasting backgrounds - Marcus Stokes and Air Noland. No starter named -> L retained; values blank; UNCERTAIN. Entry corroborated.,"VERIFIED 7D.5 2026-08-04: Memphis's quarterback battle is 'CLOSE and will likely be one of the LATER ONES SETTLED in the American.' FIRST-YEAR HC CHARLES HUFF must choose between two transfers with contrasting backgrounds - Marcus Stokes and Air Noland. No starter named -> L retained; values blank; UNCERTAIN. Entry corroborated. 2026-08-25 RECORD CORRECTION (data quality only; confidence L UNCHANGED, status remains UNCERTAIN, numerical values remain BLANK). NO QUALIFYING PUBLIC SOURCE HAS NAMED A STARTER. The live competition remains MARCUS STOKES versus AIR NOLAND. HC Charles Huff intends to keep the decision private until kickoff: 'The team will know before you guys do. You guys won't know until they flip the coin.' UNOFFICIAL DEPTH CHARTS PLACING STOKES FIRST ARE INFERENCE ONLY and do not satisfy the activation rule; Stokes is NOT activated merely because he is the current best inference. Memphis plays at UNLV in Week 0 and MEMPHIS BEING UNRESOLVED IS WHY THAT GAME REMAINS QB-GATED. RECHECK TRIGGER: an official announcement, an official game-day depth chart, or the first offensive snap.",False
QB VALUES,C89,89,South Florida,ACTIVATION,,Michael Van Buren Jr.,False
QB VALUES,D89,89,South Florida,ACTIVATION,,0,True
QB VALUES,E89,89,South Florida,ACTIVATION,OPEN (Kromenhoek / Van Buren Jr. / Cooper),Michael Van Buren Jr.,False
QB VALUES,F89,89,South Florida,ACTIVATION,,0,True
QB VALUES,H89,89,South Florida,ACTIVATION,L,M,False
QB VALUES,I89,89,South Florida,ACTIVATION,Yahoo (USF lands portal QB) / Green Gold & Bold (https://sports.yahoo.com/articles/usf-lands-quarterback-transfer-portal-132621762.html),ESPN / Pete Thamel 2026-08-24 (https://www.saturdaydownsouth.com/news/college-football/former-sec-qb-michael-van-buren-wins-fbs-starting-job-per-report/),False
QB VALUES,K89,89,South Florida,ACTIVATION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L89,89,South Florida,ACTIVATION,"VERIFIED 7D.5 2026-08-04: USF's competition is between LSU transfer MICHAEL VAN BUREN JR. and Mississippi State transfer LUKE KROMENHOEK, both named in the entry. Van Buren 'seems to have the edge' on slightly more game experience, but that is a preseason projection, not a staff decision, and no naming was located -> L retained under the 7D.5 rule; values blank; UNCERTAIN. USF training camp opened 2026-08-05. RECHECK: USF depth chart.","2026-08-25 ACTIVATED, confidence L -> M. ESPN's Pete Thamel, 2026-08-24: 'Sources: USF has named Michael Van Buren Jr. the school's starting quarterback.' Van Buren, a junior transfer from LSU and Mississippi State with 17 career games and 2,896 passing yards, beat out Luke Kromenhoek, Jayden Bradford and KJ Cooper. M rather than H because this is a reporter-sourced naming; a reported acknowledgment by USF Athletics could NOT be independently verified and is NOT relied on. Matches the precedent used for Georgia Southern, North Carolina, Rutgers, Tulane and Ohio. SUPERSEDES the 2026-08-04 entry, which recorded an open competition. BASELINE MATCH: that entry already recorded Van Buren as holding 'the edge' in the preseason projection. NOTE: 'Cooper' in the prior candidate field was KJ Cooper, a genuine competitor - the prior field was correct. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported FIU opener matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Florida International Panthers @ South Florida Bulls). Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,C91,91,Tulane,ACTIVATION,,Zeon Chriss-Gremillion,False
QB VALUES,D91,91,Tulane,ACTIVATION,,0,True
QB VALUES,E91,91,Tulane,ACTIVATION,Open (Semonza / Chriss-Gremillion / Johnson / Bruno),Zeon Chriss-Gremillion,False
QB VALUES,F91,91,Tulane,ACTIVATION,,0,True
QB VALUES,H91,91,Tulane,ACTIVATION,L,M,False
QB VALUES,I91,91,Tulane,ACTIVATION,"FOX 8 New Orleans, 2026-07-24 (https://www.fox8live.com/2026/07/24/four-qbs-battling-starting-spot-tulane/)","ESPN / Pete Thamel 2026-08-24, carried by On3 (https://www.on3.com/news/tulane-names-zeon-chriss-gremillion-starting-quarterback-for-2026/)",False
QB VALUES,K91,91,Tulane,ACTIVATION,2026-08-21 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L91,91,Tulane,ACTIVATION,"2026-08-21 CANDIDATE RECORD CORRECTED: the active field named Kadin Semonza alone, which overstated a four-way competition the record's own note already described. Current reporting confirms four quarterbacks taking fall-camp reps — Semonza, Zeon Chriss-Gremillion, Trace Johnson and Dagan Bruno — with head coach Will Hall yet to select one, and reporting that the job defaults to Chriss-Gremillion if no one separates. Candidate list corrected to match. Confidence L is UNCHANGED and correct. Numerical values remain blank; status stays UNCERTAIN. RECHECK: Will Hall naming or Week 1 depth chart.","2026-08-25 ACTIVATED, confidence L -> M. ESPN's Pete Thamel reported 2026-08-24 that Tulane named Zeon Chriss-Gremillion its starting quarterback for the opener at Duke; he beat out Kadin Semonza. M rather than H because this is a reporter-sourced naming - no official Tulane depth chart or team release was located, and the naming PRECEDED the scheduled depth-chart release. Matches the precedent used for Georgia Southern, North Carolina, Rutgers, Ohio and South Florida. SUPERSEDES the 2026-08-21 record correction, which recorded a four-way camp battle. BASELINE MATCH: that entry already recorded that the job 'defaults to Chriss-Gremillion if no one separates'. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the reported Sept. 5 debut at Duke matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Tulane Green Wave @ Duke Blue Devils). Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,C113,113,Ohio,ACTIVATION,,Nick Poulos,False
QB VALUES,D113,113,Ohio,ACTIVATION,,0,True
QB VALUES,E113,113,Ohio,ACTIVATION,Nick Poulos (leader; not yet named),Nick Poulos,False
QB VALUES,F113,113,Ohio,ACTIVATION,,0,True
QB VALUES,I113,113,Ohio,ACTIVATION,RotoWire MAC spring / Ohio Athletics (https://www.rotowire.com/cfootball/article/spring-practice-storylines-mid-american-conference-106501),ESPN / Pete Thamel 2026-08-22 (https://sports.yahoo.com/articles/nick-poulos-wins-ohio-starting-004242764.html),False
QB VALUES,K113,113,Ohio,ACTIVATION,2026-08-03 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L113,113,Ohio,ACTIVATION,"VERIFIED 2026-08-03: HC John Hauser says Nick Poulos 'is still in the lead' for the starting job, but Ohio has no Week 1 starter named. Coach-described leader awaiting formal announcement -> M. Numerical values remain BLANK (no new value populated this phase), so status stays UNCERTAIN.","2026-08-25 ACTIVATED, confidence M (UNCHANGED from M). ESPN's Pete Thamel reported that Ohio named graduate student Nick Poulos its starting quarterback, announced Saturday 2026-08-22 by first-year HC John Hauser. M rather than H because this is a reporter-sourced naming rather than a team release carried first-party, matching the precedent used for Georgia Southern, North Carolina, Rutgers, Tulane and South Florida. SUPERSEDES the 2026-08-03 entry, which recorded Hauser calling Poulos 'still in the lead' with no Week 1 starter named. BASELINE MATCH: Poulos was already the coach-described leader, so the confirmed starter IS the quarterback the preseason rating assumed. INDEPENDENTLY CORROBORATED BY THE WORKBOOK: the report that Ohio opens week one in Lincoln against Nebraska matches IMPORT SCHEDULE exactly (wk1 2026-09-05 Ohio Bobcats @ Nebraska Cornhuskers). Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
QB VALUES,D125,125,UNLV,ACTIVATION,,0,True
QB VALUES,E125,125,UNLV,ACTIVATION,Open (Jackson Arnold / Alex Orji),Jackson Arnold,False
QB VALUES,F125,125,UNLV,ACTIVATION,,0,True
QB VALUES,H125,125,UNLV,ACTIVATION,L,M,False
QB VALUES,I125,125,UNLV,ACTIVATION,ESPN (Arnold to UNLV) (https://www.espn.com/college-football/story/_/id/47539823/qb-jackson-arnold-headed-unlv-third-team-three-seasons),OWNER-CONFIRMED 2026-08-25 (operative starting quarterback). Public reporting contains NO formal QB1 announcement - Las Vegas Review-Journal / Fox5 Vegas: HC Dan Mullen says Jackson Arnold and Alex Orji will BOTH play and declines to name a starter. Prior source: ESPN (https://www.espn.com/college-football/story/_/id/47539823/qb-jackson-arnold-headed-unlv-third-team-three-seasons),False
QB VALUES,K125,125,UNLV,ACTIVATION,2026-08-04 00:00:00,2026-08-25 00:00:00,False
QB VALUES,L125,125,UNLV,ACTIVATION,"DEFECT CORRECTED 7D.5 2026-08-04: prior entry read 'projected transfer QB1 (verified)' (M) for the Oklahoma/Auburn transfer. The Las Vegas Review-Journal's training-camp preview (2026-07-28) reports a genuine unresolved battle: 'even if coaches won't name a front-runner throughout training camp, there is definitely a battle between returner ALEX ORJI and Auburn transfer JACKSON ARNOLD.' HC Dan Mullen has NOT named a starter, and Fox5 Vegas (2026-07-17) ran a segment on the still-open competition. Arnold brings 18 career starts, 3,293 pass yds and 871 rush yds across Oklahoma and Auburn; Orji must prove a Grade 3 LCL sprain and severe hamstring tear from the 2025 UCLA game have healed. The word 'verified' in the prior note was not supported by any naming. -> M downgraded to L; zeros CLEARED to blank; status becomes UNCERTAIN. Someone must start vs Memphis on 2026-08-29. RECHECK: UNLV depth chart.","2026-08-25 ACTIVATED, confidence L -> M. PROVENANCE IS OWNER-CONFIRMED, NOT AN OFFICIAL ANNOUNCEMENT: the owner confirms Jackson Arnold is the operative starting quarterback for Week 0. HC DAN MULLEN HAS NOT FORMALLY NAMED A STARTER - he says Arnold and Alex Orji will both play and has declined to name a front-runner throughout training camp. This entry must not be read as implying a formal QB1 announcement. M rather than H precisely because no team or coach naming exists. ALEX ORJI IS EXPECTED TO PLAY and remains in the quarterback room; Orji must also prove that a Grade 3 LCL sprain and severe hamstring tear from the 2025 UCLA game have healed. SUPERSEDES the 2026-08-04 defect-corrected entry, which recorded a genuine unresolved battle. DEVIATION IS EXACTLY ZERO AND VERIFIED: Jackson Arnold was ALREADY the recorded baseline quarterback in column C before this activation, which is therefore NOT rewritten - the operative starter and the preseason assumption are the same player. UNLV hosts Memphis in Week 0; MEMPHIS REMAINS UNRESOLVED, so that game stays QB-gated. RECHECK: official UNLV depth chart or a Mullen naming. Baseline and active values are 0/0 under the deviation-only convention: QB VALUES!G = F - D, so 0 - 0 = 0 and ENGINE!M contributes exactly nothing to any game. The zeros do not rate the quarterback - they record that the active starter IS the quarterback the preseason rating already assumed, so no deviation applies. No nonzero QB adjustment and no model change.",False
