sheet,cell,classification,old,new
QB VALUES,L7,CUMULATIVE,,"DEFECT CORRECTED 2026-08-03: prior entry asserted KJ Jackson as likely starter (M). HC Ryan Silverfield (Whole Hog Sports, 2026-08-03) says the KJ Jackson vs AJ Hill battle 'could last until the Sept. 5 opener vs North Alabama'; he and OC Tim Cramsey called it 'wide open' in February. Jackson: RS-So, 4-star 2024, 33/54 441yds 3TD 0INT in 2025. Hill: RS-Fr, Memphis transfer (followed Silverfield), 4-star 2025, two years in Cramsey's system. Genuine open competition -> L. Numerical zeros CLEARED to blank per the approved Akron consistency methodology."
QB VALUES,C8,CUMULATIVE,,Byrum Brown
QB VALUES,D8,CUMULATIVE,,0
QB VALUES,E8,CUMULATIVE,,Byrum Brown (USF transfer)
QB VALUES,F8,CUMULATIVE,,0
QB VALUES,H8,CUMULATIVE,,M
QB VALUES,I8,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J8,CUMULATIVE,,2026
QB VALUES,K8,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L8,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: Byrum Brown CONFIRMED as Auburn's quarterback - a USF transfer who followed HC Alex Golesh from Tampa and was among the most sought-after players in the portal. 2025 at USF: 3,158 pass yds, 28 TD, 7 INT, leading the Bulls to 9-3. No competition reported and no formal naming located -> M retained (not H). Entry corroborated; zeros retained; status OK. RECHECK: official Auburn depth chart."
QB VALUES,E9,CUMULATIVE,,Aaron Philo
QB VALUES,H9,CUMULATIVE,,L
QB VALUES,I9,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J9,CUMULATIVE,,2026
QB VALUES,K9,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L9,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms an open competition - Aaron Philo (Georgia Tech transfer, reunited with OC Buster Faulkner) vs Tramell Jones (RS freshman). Philo is FAVORED and 'holds the edge entering fall camp' on the strength of a more consistent spring, but NO starter has been named and the competition is live. Under the 7D.5 rule that a starter must not be inferred from a preseason projection, a media 'edge' characterization without a staff naming does not clear the M bar -> L retained (consistent with the Colorado State treatment); values blank; UNCERTAIN. RECHECK: Florida depth chart."
QB VALUES,C10,CUMULATIVE,,Gunner Stockton
QB VALUES,D10,CUMULATIVE,,0
QB VALUES,E10,CUMULATIVE,,Gunner Stockton
QB VALUES,F10,CUMULATIVE,,0
QB VALUES,H10,CUMULATIVE,,H
QB VALUES,I10,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J10,CUMULATIVE,,2026
QB VALUES,K10,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L10,CUMULATIVE,,"returning starter | 2025: 2025: 69.7% comp, 24 pass TD, 5 INT | established returning starter, no competition | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C11,CUMULATIVE,,Kenny Minchey
QB VALUES,D11,CUMULATIVE,,0
QB VALUES,E11,CUMULATIVE,,Kenny Minchey (Notre Dame transfer)
QB VALUES,F11,CUMULATIVE,,0
QB VALUES,H11,CUMULATIVE,,M
QB VALUES,I11,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J11,CUMULATIVE,,2026
QB VALUES,K11,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L11,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: Kenny Minchey CONFIRMED as Kentucky's quarterback - a Notre Dame transfer after three seasons there (29 career pass attempts; lost the 2025 Notre Dame battle to CJ Carr), now running the offense for NEW HC WILL STEIN. Transfer brought in to start with no competition reported; no formal naming located -> M retained. Zeros retained; status OK. RECHECK: Kentucky depth chart."
QB VALUES,C12,CUMULATIVE,,Sam Leavitt
QB VALUES,D12,CUMULATIVE,,0
QB VALUES,E12,CUMULATIVE,,Sam Leavitt
QB VALUES,F12,CUMULATIVE,,0
QB VALUES,H12,CUMULATIVE,,H
QB VALUES,I12,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J12,CUMULATIVE,,2026
QB VALUES,K12,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L12,CUMULATIVE,,"transfer | prev: Arizona State | 2025: ASU 2025: 10 pass TD, 3 INT (injury-shortened) | NOTE: Dealt with injury in 2025 | strong projected/expected QB1 (marquee transfer) | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C13,CUMULATIVE,,Kamario Taylor
QB VALUES,D13,CUMULATIVE,,0
QB VALUES,E13,CUMULATIVE,,Kamario Taylor
QB VALUES,F13,CUMULATIVE,,0
QB VALUES,H13,CUMULATIVE,,H
QB VALUES,I13,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J13,CUMULATIVE,,2026
QB VALUES,K13,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L13,CUMULATIVE,,"VERIFIED 2026-08-03: Kamario Taylor arrived at SEC Media Days as Mississippi State's 'unquestioned starter - no competition, no committee, no asterisk'; described as ENTRENCHED, with only the No.2 job open in fall camp. Confirmed on the official hailstate.com roster and in official MSU releases; new QB coach Kevin Johns calls him 'very, very special.' Production as a true freshman: 629 pass yds, 458 rush yds, 173 rush vs Ole Miss in his first career start. Settled starter -> H. Zero initialization RETAINED; status remains OK."
QB VALUES,C14,CUMULATIVE,,Austin Simmons
QB VALUES,D14,CUMULATIVE,,0
QB VALUES,E14,CUMULATIVE,,Austin Simmons (OFFICIALLY NAMED 2026-03-19)
QB VALUES,F14,CUMULATIVE,,0
QB VALUES,H14,CUMULATIVE,,H
QB VALUES,I14,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J14,CUMULATIVE,,2026
QB VALUES,K14,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L14,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04 - OFFICIAL NAMING: HC Eli Drinkwitz NAMED Austin Simmons (Ole Miss transfer) Missouri's 2026 starting quarterback on 2026-03-19, right after spring camp and nearly six months before the 2026-09-03 opener vs Arkansas-Pine Bluff. Simmons beat out returning sophomore Matt Zollers and UConn transfer Nick Evers. Drinkwitz's stated reasoning: Simmons 'was better in managing the team in two-minute drills and end-of-game situations', and naming him early would 'allow him to develop relationships with our wide receivers, timing with the wide receivers and tight ends, and allow him to really establish himself as a leader.' Reaffirmed at SEC Media Days in July 2026. Prior entry read 'projected leader, some competition' - STALE, the competition had already been formally settled. An official naming with the competition closed meets the H standard -> M upgraded to H (same basis as UTEP). Zeros RETAINED (correct for H); status remains OK."
QB VALUES,C15,CUMULATIVE,,John Mateer
QB VALUES,D15,CUMULATIVE,,0
QB VALUES,E15,CUMULATIVE,,John Mateer
QB VALUES,F15,CUMULATIVE,,0
QB VALUES,H15,CUMULATIVE,,H
QB VALUES,I15,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J15,CUMULATIVE,,2026
QB VALUES,K15,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L15,CUMULATIVE,,"returning starter | 2025: 2025: 14 pass TD, 11 INT, dual-threat; took 13 sacks in losses | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C16,CUMULATIVE,,Trinidad Chambliss
QB VALUES,D16,CUMULATIVE,,0
QB VALUES,E16,CUMULATIVE,,Trinidad Chambliss
QB VALUES,F16,CUMULATIVE,,0
QB VALUES,H16,CUMULATIVE,,H
QB VALUES,I16,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J16,CUMULATIVE,,2026
QB VALUES,K16,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L16,CUMULATIVE,,"returning starter | 2025: 2025: 22 pass TD, 3 INT (SEC passing leader) | NOTE: Received injunction/court ruling granting additional season of eligibility | established returning starter (eligibility secured) | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C17,CUMULATIVE,,LaNorris Sellers
QB VALUES,D17,CUMULATIVE,,0
QB VALUES,E17,CUMULATIVE,,LaNorris Sellers
QB VALUES,F17,CUMULATIVE,,0
QB VALUES,H17,CUMULATIVE,,H
QB VALUES,I17,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J17,CUMULATIVE,,2026
QB VALUES,K17,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L17,CUMULATIVE,,"returning starter | 2025: 2025: 13 pass TD, 8 INT; OL allowed 42 sacks | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,E18,CUMULATIVE,,Faizon Brandon
QB VALUES,H18,CUMULATIVE,,L
QB VALUES,I18,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J18,CUMULATIVE,,2026
QB VALUES,K18,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L18,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Faizon Brandon (five-star true freshman) vs George MacIntyre (RS, most system time). Brandon is FAVORED and impressed evaluators ('This kid's got moxie... confidence'), but the competition is UNDECIDED entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN."
QB VALUES,C19,CUMULATIVE,,Arch Manning
QB VALUES,D19,CUMULATIVE,,0
QB VALUES,E19,CUMULATIVE,,Arch Manning
QB VALUES,F19,CUMULATIVE,,0
QB VALUES,H19,CUMULATIVE,,H
QB VALUES,I19,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J19,CUMULATIVE,,2026
QB VALUES,K19,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L19,CUMULATIVE,,"returning starter | 2025: 2025: 26 pass TD, 7 INT (improved mid-season) | established returning starter, no competition | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C20,CUMULATIVE,,Marcel Reed
QB VALUES,D20,CUMULATIVE,,0
QB VALUES,E20,CUMULATIVE,,Marcel Reed
QB VALUES,F20,CUMULATIVE,,0
QB VALUES,H20,CUMULATIVE,,H
QB VALUES,I20,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J20,CUMULATIVE,,2026
QB VALUES,K20,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L20,CUMULATIVE,,"returning starter | 2025: 2025: 25 pass TD, 12 INT (half INTs in last 4 games) | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,E21,CUMULATIVE,,Jared Curtis
QB VALUES,H21,CUMULATIVE,,L
QB VALUES,I21,CUMULATIVE,,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season)
QB VALUES,J21,CUMULATIVE,,2026
QB VALUES,K21,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L21,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04 - CLOSES THE PHASE 8.3 FAILED RE-VERIFICATION: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Jared Curtis (No. 2 overall recruit, true freshman) vs Blaze Berlowitz (veteran who backed up Diego Pavia in 2025). Curtis is FAVORED, with staff saying 'He's as good as we hoped he'd be', but the competition REMAINS OPEN and undecided entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN. Vanderbilt's record is now substantiated in-workbook for the first time."
QB VALUES,C22,CUMULATIVE,,Katin Houser
QB VALUES,D22,CUMULATIVE,,0
QB VALUES,E22,CUMULATIVE,,Katin Houser
QB VALUES,F22,CUMULATIVE,,0
QB VALUES,H22,CUMULATIVE,,H
QB VALUES,I22,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J22,CUMULATIVE,,2026
QB VALUES,K22,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L22,CUMULATIVE,,"transfer | prev: East Carolina | 2025: ECU 2025: 65.9% comp, 3,300 yds, 19 TD, 6 INT, 146.3 rating | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C23,CUMULATIVE,,Josh Hoover
QB VALUES,D23,CUMULATIVE,,0
QB VALUES,E23,CUMULATIVE,,Josh Hoover
QB VALUES,F23,CUMULATIVE,,0
QB VALUES,H23,CUMULATIVE,,H
QB VALUES,I23,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J23,CUMULATIVE,,2026
QB VALUES,K23,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L23,CUMULATIVE,,"transfer | prev: TCU | 2025: TCU 2025: 65.9% comp, 3,472 yds, 29 TD, 13 INT, 153.4 rating | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,E24,CUMULATIVE,,Open (Jeremy Hecklinski / Hank Brown)
QB VALUES,H24,CUMULATIVE,,L
QB VALUES,I24,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J24,CUMULATIVE,,2026
QB VALUES,K24,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L24,CUMULATIVE,,VERIFIED 2026-08-03: HC Kirk Ferentz has NOT decided between Jeremy Hecklinski and Hank Brown entering fall camp; coaches have consistently SPLIT first-team reps with 'little separation'; Ferentz says a decision may not come until August and 'may be in-season.' Both spent 2025 learning OC Tim Lester's system behind Mark Gronowski. Genuine open competition -> L retained; entry refined from a single name to the actual two-man race. Values remain blank; UNCERTAIN.
QB VALUES,C25,CUMULATIVE,,Malik Washington
QB VALUES,D25,CUMULATIVE,,0
QB VALUES,E25,CUMULATIVE,,Malik Washington
QB VALUES,F25,CUMULATIVE,,0
QB VALUES,H25,CUMULATIVE,,H
QB VALUES,I25,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J25,CUMULATIVE,,2026
QB VALUES,K25,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L25,CUMULATIVE,,"returning starter | 2025: 2025: 57.7% comp, 2,963 yds, 17 TD, 9 INT, 118.4 rating | returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C26,CUMULATIVE,,Bryce Underwood
QB VALUES,D26,CUMULATIVE,,0
QB VALUES,E26,CUMULATIVE,,Bryce Underwood
QB VALUES,F26,CUMULATIVE,,0
QB VALUES,H26,CUMULATIVE,,H
QB VALUES,I26,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J26,CUMULATIVE,,2026
QB VALUES,K26,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L26,CUMULATIVE,,"returning starter | 2025: 2025: 60.3% comp, 2,428 yds, 11 TD, 9 INT, 126.6 rating | returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C27,CUMULATIVE,,Alessio Milivojevic
QB VALUES,D27,CUMULATIVE,,0
QB VALUES,E27,CUMULATIVE,,Alessio Milivojevic
QB VALUES,F27,CUMULATIVE,,0
QB VALUES,H27,CUMULATIVE,,M
QB VALUES,I27,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J27,CUMULATIVE,,2026
QB VALUES,K27,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L27,CUMULATIVE,,"VERIFIED 2026-08-03: Alessio Milivojevic returns, having taken over from Aidan Chiles in 2025. Returning starter; M retained."
QB VALUES,C28,CUMULATIVE,,Drake Lindsey
QB VALUES,D28,CUMULATIVE,,0
QB VALUES,E28,CUMULATIVE,,Drake Lindsey
QB VALUES,F28,CUMULATIVE,,0
QB VALUES,H28,CUMULATIVE,,M
QB VALUES,I28,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J28,CUMULATIVE,,2026
QB VALUES,K28,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L28,CUMULATIVE,,"VERIFIED 2026-08-03: Drake Lindsey returns as sophomore starter after a record-setting freshman year (62.8% comp, 18 pass TD, 6 INT, 4 rush TD). Returning starter, no credible competition reported; M retained pending formal confirmation."
QB VALUES,E29,CUMULATIVE,,Anthony Colandrea
QB VALUES,H29,CUMULATIVE,,L
QB VALUES,I29,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J29,CUMULATIVE,,2026
QB VALUES,K29,CUMULATIVE,,2026-08-04 00:00:00
QB VALUES,L29,CUMULATIVE,,"VERIFIED 7D.5 2026-08-04: Nebraska added ANTHONY COLANDREA from the portal - the 2025 MOUNTAIN WEST PLAYER OF THE YEAR at UNLV (3,459 pass yds, 23 TD) - joining returner TJ Lateef. This confirms the entry's candidate list. No starter has been named and no staff statement establishing a leader was located; a high-profile transfer arriving is not by itself evidence of a settled job. -> L retained; values blank; UNCERTAIN. EVIDENCE NOTE: this is the thinnest of the 7D.5 confirmations - the transfer is documented, the competition's state is inferred from the absence of a naming. RECHECK: Nebraska depth chart."
QB VALUES,C30,CUMULATIVE,,Aidan Chiles
QB VALUES,D30,CUMULATIVE,,0
QB VALUES,E30,CUMULATIVE,,Aidan Chiles
QB VALUES,F30,CUMULATIVE,,0
QB VALUES,H30,CUMULATIVE,,H
QB VALUES,I30,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J30,CUMULATIVE,,2026
QB VALUES,K30,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L30,CUMULATIVE,,transfer | prev: Michigan State | 2025: MSU 2025 starter (dual-threat); turnovers to clean up | uncontested transfer QB1 (verified) | VALUE PENDING RUBRIC APPROVAL
QB VALUES,C31,CUMULATIVE,,Julian Sayin
QB VALUES,D31,CUMULATIVE,,0
QB VALUES,E31,CUMULATIVE,,Julian Sayin
QB VALUES,F31,CUMULATIVE,,0
QB VALUES,H31,CUMULATIVE,,H
QB VALUES,I31,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J31,CUMULATIVE,,2026
QB VALUES,K31,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L31,CUMULATIVE,,"returning starter | 2025: 2025: 77.0% comp, 3,610 yds, 32 TD, 8 INT, 177.5 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C32,CUMULATIVE,,Dante Moore
QB VALUES,D32,CUMULATIVE,,0
QB VALUES,E32,CUMULATIVE,,Dante Moore
QB VALUES,F32,CUMULATIVE,,0
QB VALUES,H32,CUMULATIVE,,H
QB VALUES,I32,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J32,CUMULATIVE,,2026
QB VALUES,K32,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L32,CUMULATIVE,,"returning starter | 2025: 2025: 71.8% comp, 3,565 yds, 30 TD, 10 INT, 163.7 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C33,CUMULATIVE,,Rocco Becht
QB VALUES,D33,CUMULATIVE,,0
QB VALUES,E33,CUMULATIVE,,Rocco Becht
QB VALUES,F33,CUMULATIVE,,0
QB VALUES,H33,CUMULATIVE,,H
QB VALUES,I33,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J33,CUMULATIVE,,2026
QB VALUES,K33,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L33,CUMULATIVE,,"transfer | prev: Iowa State | 2025: ISU 2025: 60.5% comp, 2,584 yds, 16 TD, 9 INT, 134.8 rating; 21 sacks | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C34,CUMULATIVE,,Ryan Browne
QB VALUES,D34,CUMULATIVE,,0
QB VALUES,E34,CUMULATIVE,,Ryan Browne
QB VALUES,F34,CUMULATIVE,,0
QB VALUES,H34,CUMULATIVE,,M
QB VALUES,I34,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J34,CUMULATIVE,,2026
QB VALUES,K34,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L34,CUMULATIVE,,"VERIFIED 2026-08-03: Ryan Browne returns at QB; production tied to his rushing usage. Returning starter, unproven as a full-season answer; M retained."
QB VALUES,E35,CUMULATIVE,,Dylan Lonergan (likely starter; AJ Surace competing)
QB VALUES,H35,CUMULATIVE,,M
QB VALUES,I35,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J35,CUMULATIVE,,2026
QB VALUES,K35,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L35,CUMULATIVE,,"VERIFIED 2026-08-03: Dylan Lonergan (Boston College transfer, replacing Athan Kaliakmanis) is described as 'the likely starter, but Rutgers likes AJ Surace, too' - a clear leader with real competition -> M. Mixed 2025 record (upside vs Michigan State/Stanford/Georgia Tech; benched twice, 1 pass TD and 6 turnovers in six other FBS games) supports M rather than H. Per 7D.3 methodology, numerical values REMAIN BLANK on an L->M change (valuation unresolved), so status correctly stays UNCERTAIN."
QB VALUES,C36,CUMULATIVE,,Nico Iamaleava
QB VALUES,D36,CUMULATIVE,,0
QB VALUES,E36,CUMULATIVE,,Nico Iamaleava
QB VALUES,F36,CUMULATIVE,,0
QB VALUES,H36,CUMULATIVE,,H
QB VALUES,I36,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J36,CUMULATIVE,,2026
QB VALUES,K36,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L36,CUMULATIVE,,"returning starter | 2025: 2025: 64.4% comp, 1,928 yds, 13 TD, 7 INT, 123.5 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C37,CUMULATIVE,,Jayden Maiava
QB VALUES,D37,CUMULATIVE,,0
QB VALUES,E37,CUMULATIVE,,Jayden Maiava
QB VALUES,F37,CUMULATIVE,,0
QB VALUES,H37,CUMULATIVE,,H
QB VALUES,I37,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J37,CUMULATIVE,,2026
QB VALUES,K37,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L37,CUMULATIVE,,"returning starter | 2025: 2025: 65.8% comp, 3,711 yds, 24 TD, 10 INT, 157.8 rating | returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C38,CUMULATIVE,,Demond Williams Jr.
QB VALUES,D38,CUMULATIVE,,0
QB VALUES,E38,CUMULATIVE,,Demond Williams Jr.
QB VALUES,F38,CUMULATIVE,,0
QB VALUES,H38,CUMULATIVE,,H
QB VALUES,I38,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J38,CUMULATIVE,,2026
QB VALUES,K38,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L38,CUMULATIVE,,"returning starter | 2025: 2025: 69.5% comp, 3,065 yds, 25 TD, 8 INT, 161.0 rating; 31 sacks in 13 g | returning starter | VALUE PENDING RUBRIC APPROVAL"
QB VALUES,C39,CUMULATIVE,,Colton Joseph
QB VALUES,D39,CUMULATIVE,,0
QB VALUES,E39,CUMULATIVE,,Colton Joseph
QB VALUES,F39,CUMULATIVE,,0
QB VALUES,H39,CUMULATIVE,,M
QB VALUES,I39,CUMULATIVE,,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season)
QB VALUES,J39,CUMULATIVE,,2026
QB VALUES,K39,CUMULATIVE,,2026-08-03 00:00:00
QB VALUES,L39,CUMULATIVE,,VERIFIED 2026-08-03: Colton Joseph listed as Wisconsin's starting quarterback; M retained pending formal announcement.
QB VALUES,C40,CUMULATIVE,,Noah Fifita
QB VALUES,D40,CUMULATIVE,,0
QB VALUES,E40,CUMULATIVE,,Noah Fifita
QB VALUES,F40,CUMULATIVE,,0
QB VALUES,H40,CUMULATIVE,,H
QB VALUES,I40,CUMULATIVE,,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season)
QB VALUES,J40,CUMULATIVE,,2026
QB VALUES,K40,CUMULATIVE,,2026-07-21 00:00:00
QB VALUES,L40,CUMULATIVE,,"returning starter | 2025: 2025: 64.3% comp, 3,228 yds, 29 TD, 6 INT | established returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL"
