row,abbrev,team,baseline_qb,baseline_value,active_qb,active_value,confidence,source,reviewed_for_season,last_update,note,verification_status
19,TEX,Texas,Arch Manning,0,Arch Manning,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 26 pass TD, 7 INT (improved mid-season) | established returning starter, no competition | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
20,TAMU,Texas A&M,Marcel Reed,0,Marcel Reed,0,H,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 25 pass TD, 12 INT (half INTs in last 4 games) | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
21,VAN,Vanderbilt,,,Jared Curtis,,L,Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04 - CLOSES THE PHASE 8.3 FAILED RE-VERIFICATION: CBS Sports fall-camp intel (2026-08-04) confirms the entry - Jared Curtis (No. 2 overall recruit, true freshman) vs Blaze Berlowitz (veteran who backed up Diego Pavia in 2025). Curtis is FAVORED, with staff saying 'He's as good as we hoped he'd be', but the competition REMAINS OPEN and undecided entering fall camp. Genuine competition -> L retained; values blank; UNCERTAIN. Vanderbilt's record is now substantiated in-workbook for the first time.",VERIFIED 7D.5
22,ILL,Illinois,Katin Houser,0,Katin Houser,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"transfer | prev: East Carolina | 2025: ECU 2025: 65.9% comp, 3,300 yds, 19 TD, 6 INT, 146.3 rating | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
23,IND,Indiana,Josh Hoover,0,Josh Hoover,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"transfer | prev: TCU | 2025: TCU 2025: 65.9% comp, 3,472 yds, 29 TD, 13 INT, 153.4 rating | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
24,IOWA,Iowa,,,Open (Jeremy Hecklinski / Hank Brown),,L,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,VERIFIED 2026-08-03: HC Kirk Ferentz has NOT decided between Jeremy Hecklinski and Hank Brown entering fall camp; coaches have consistently SPLIT first-team reps with 'little separation'; Ferentz says a decision may not come until August and 'may be in-season.' Both spent 2025 learning OC Tim Lester's system behind Mark Gronowski. Genuine open competition -> L retained; entry refined from a single name to the actual two-man race. Values remain blank; UNCERTAIN.,VERIFIED 7D.3A
25,MD,Maryland,Malik Washington,0,Malik Washington,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 57.7% comp, 2,963 yds, 17 TD, 9 INT, 118.4 rating | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
26,MICH,Michigan,Bryce Underwood,0,Bryce Underwood,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 60.3% comp, 2,428 yds, 11 TD, 9 INT, 126.6 rating | returning starter | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
27,MSU,Michigan State,Alessio Milivojevic,0,Alessio Milivojevic,0,M,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,"VERIFIED 2026-08-03: Alessio Milivojevic returns, having taken over from Aidan Chiles in 2025. Returning starter; M retained.",VERIFIED 7D.3
28,MINN,Minnesota,Drake Lindsey,0,Drake Lindsey,0,M,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,"VERIFIED 2026-08-03: Drake Lindsey returns as sophomore starter after a record-setting freshman year (62.8% comp, 18 pass TD, 6 INT, 4 rush TD). Returning starter, no credible competition reported; M retained pending formal confirmation.",VERIFIED 7D.3
29,NEB,Nebraska,,,Anthony Colandrea,,L,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-04,"VERIFIED 7D.5 2026-08-04: Nebraska added ANTHONY COLANDREA from the portal - the 2025 MOUNTAIN WEST PLAYER OF THE YEAR at UNLV (3,459 pass yds, 23 TD) - joining returner TJ Lateef. This confirms the entry's candidate list. No starter has been named and no staff statement establishing a leader was located; a high-profile transfer arriving is not by itself evidence of a settled job. -> L retained; values blank; UNCERTAIN. EVIDENCE NOTE: this is the thinnest of the 7D.5 confirmations - the transfer is documented, the competition's state is inferred from the absence of a naming. RECHECK: Nebraska depth chart.",VERIFIED 7D.5
30,NW,Northwestern,Aidan Chiles,0,Aidan Chiles,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,transfer | prev: Michigan State | 2025: MSU 2025 starter (dual-threat); turnovers to clean up | uncontested transfer QB1 (verified) | VALUE PENDING RUBRIC APPROVAL,H-coded (tier 2)
31,OHST,Ohio State,Julian Sayin,0,Julian Sayin,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 77.0% comp, 3,610 yds, 32 TD, 8 INT, 177.5 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
32,ORE,Oregon,Dante Moore,0,Dante Moore,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 71.8% comp, 3,565 yds, 30 TD, 10 INT, 163.7 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
33,PSU,Penn State,Rocco Becht,0,Rocco Becht,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"transfer | prev: Iowa State | 2025: ISU 2025: 60.5% comp, 2,584 yds, 16 TD, 9 INT, 134.8 rating; 21 sacks | uncontested transfer QB1 | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
34,PUR,Purdue,Ryan Browne,0,Ryan Browne,0,M,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,"VERIFIED 2026-08-03: Ryan Browne returns at QB; production tied to his rushing usage. Returning starter, unproven as a full-season answer; M retained.",VERIFIED 7D.3
35,RUTG,Rutgers,,,Dylan Lonergan (likely starter; AJ Surace competing),,M,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,"VERIFIED 2026-08-03: Dylan Lonergan (Boston College transfer, replacing Athan Kaliakmanis) is described as 'the likely starter, but Rutgers likes AJ Surace, too' - a clear leader with real competition -> M. Mixed 2025 record (upside vs Michigan State/Stanford/Georgia Tech; benched twice, 1 pass TD and 6 turnovers in six other FBS games) supports M rather than H. Per 7D.3 methodology, numerical values REMAIN BLANK on an L->M change (valuation unresolved), so status correctly stays UNCERTAIN.",VERIFIED 7D.3
36,UCLA,UCLA,Nico Iamaleava,0,Nico Iamaleava,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 64.4% comp, 1,928 yds, 13 TD, 7 INT, 123.5 rating | established returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
37,USC,USC,Jayden Maiava,0,Jayden Maiava,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 65.8% comp, 3,711 yds, 24 TD, 10 INT, 157.8 rating | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
38,WASH,Washington,Demond Williams Jr.,0,Demond Williams Jr.,0,H,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-07-21,"returning starter | 2025: 2025: 69.5% comp, 3,065 yds, 25 TD, 8 INT, 161.0 rating; 31 sacks in 13 g | returning starter | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
39,WISC,Wisconsin,Colton Joseph,0,Colton Joseph,0,M,Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season),2026,2026-08-03,VERIFIED 2026-08-03: Colton Joseph listed as Wisconsin's starting quarterback; M retained pending formal announcement.,VERIFIED 7D.3
40,ARIZ,Arizona,Noah Fifita,0,Noah Fifita,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 64.3% comp, 3,228 yds, 29 TD, 6 INT | established returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
41,AZST,Arizona State,Cutter Boley,0,Cutter Boley,0,M,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-08-03,VERIFIED 2026-08-03: Cutter Boley confirmed as Arizona State's projected starter in current Big 12 starter rankings; M retained (no official naming located).,VERIFIED 7D.3
42,BAY,Baylor,DJ Lagway,0,DJ Lagway,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: Florida | 2025: Florida 2025: 63.2% comp, 2,264 yds, 16 TD, 14 INT (started all 12) | projected transfer QB1 (SI High); affiliation verified | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
43,BYU,BYU,Bear Bachmeier,0,Bear Bachmeier,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 64.9% comp, 3,033 yds, 15 TD, 7 INT | returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
44,CIN,Cincinnati,JC French IV,0,JC French IV,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: Georgia Southern | 2025: GSU 2025: 63.8% comp, 2,929 yds, 20 TD, 8 INT; 29 sacks | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
45,COLO,Colorado,Julian Lewis,0,Julian Lewis,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"backup promotion | 2025: 2025: 55.3% comp, 589 yds, 4 TD, 0 INT (limited) | named starter, no competition (SI High); inexperienced | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
46,HOU,Houston,Conner Weigman,0,Conner Weigman,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-08-03,VERIFIED 2026-08-03: Conner Weigman is Houston's RETURNING starter entering his second season as the signal-caller; confirmed on the official University of Houston roster; publicly announced his return for 2026; coach praise reported for his offseason bounce-back; NO competition reported in any located source. Established healthy returning starter with no credible competition -> H (not a media projection). Zero initialization RETAINED (correct for H under the preseason baseline-delta method); status remains OK.,VERIFIED 7D.3A
47,ISU,Iowa State,Jaylen Raynor,0,Jaylen Raynor,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: Arkansas State | 2025: ASU 2025: 66.5% comp, 3,361 yds, 19 TD, 11 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
48,KAN,Kansas,,,Cole Ballard (leader; Isaiah Marshall competing),,L,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-08-03,"VERIFIED 2026-08-03: Cole Ballard 'MAY BE' Kansas's QB1 (SI headline wording) replacing Jalon Daniels, with real competition from Isaiah Marshall - Ballard the better thrower, Marshall the better runner; Kansas QBs described as 'totally fine with competition heading into camp.' Ballard confirmed on the official kuathletics.com roster. No naming by Lance Leipold located -> L retained. This confirms the Phase 7D.3 decision NOT to upgrade on a national projected-starter list alone. Values remain blank; UNCERTAIN.",VERIFIED 7D.3A
49,KSU,Kansas State,Avery Johnson,0,Avery Johnson,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 59.8% comp, 2,385 yds, 18 TD, 6 INT | returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
50,OKST,Oklahoma State,Drew Mestemaker,0,Drew Mestemaker,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: North Texas | 2025: UNT 2025: 68.9% comp, 4,379 yds, 34 TD, 9 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
51,TCU,TCU,Jaden Craig,0,Jaden Craig,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: Harvard | 2025: Harvard 2025: 61.5% comp, 2,869 yds, 25 TD, 7 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
52,TTU,Texas Tech,,,Will Hammond,,M,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-08-03,"Surgeon clearance reported (late July 2026); projected Week 1 starter per ESPN/On3. FINAL TEAM MEDICAL CLEARANCE STILL PENDING - training staff retains the decision (~Aug 21 nine-month ACL mark). Classification is LIKELY (M), NOT KNOWN (H): no official naming has occurred. Numerical QB delta remains GATED - Baseline/Active values stay blank until final clearance, so QB status correctly remains UNCERTAIN.",verified 7A-7D
53,UCF,UCF,Alonza Barnett III,0,Alonza Barnett III,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"transfer | prev: James Madison | 2025: JMU 2025: 58.4% comp, 2,806 yds, 23 TD, 8 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
54,UTAH,Utah,Devon Dampier,0,Devon Dampier,0,H,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-07-21,"returning starter | 2025: 2025: 63.5% comp, 2,490 yds, 24 TD, 5 INT | returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
55,WVU,West Virginia,Michael Hawkins Jr.,0,Michael Hawkins Jr.,0,M,Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season),2026,2026-08-03,VERIFIED 2026-08-03: Michael Hawkins Jr. confirmed as West Virginia's projected starter; M retained (no official naming located).,VERIFIED 7D.3
56,BC,Boston College,Mason McKenzie,0,Mason McKenzie,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Saginaw Valley State (D-II) | 2025: D-II 2025: 59.8% comp, 2,086 yds, 17 TD, 11 INT (+7 fumbles) | uncontested transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
57,CAL,California,Jaron-Keawe Sagapolutele,0,Jaron-Keawe Sagapolutele,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"returning starter | 2025: 2025: 64.2% comp, 3,454 yds, 18 TD, 9 INT (as true Fr) | returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
58,CLEM,Clemson,Christopher Vizzina,0,Christopher Vizzina,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"backup promotion | 2025: 2025: 63.4% comp (71 att), 406 yds, 4 TD, 1 INT; 1 start | promoted QB1, no competition (SI High); big-game inexperience | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
59,DUKE,Duke,Walker Eget,0,Walker Eget (expected Week 1 starter; 5-way competition),0,M,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-08-03,"VERIFIED 2026-08-03 - 7D.3 CONFLICT RESOLVED, candidate entry CONFIRMED: Walker Eget is on the official Duke roster (goduke.com), a San Jose State transfer who committed in Jan 2026 (Duke Chronicle), and is expected to be Duke's Week 1 starter after Darian Mensah left for Miami. Manny Diaz expects him to be a full participant in fall camp. He competes with transfers Blaine Hipa and Ari Patu plus returners Terry Walker III and Dan Mahan. Career at SJSU: 5,555 yds, 30 TD, 19 INT over two seasons starting. Clear leader with real competition -> M retained (not H).",VERIFIED 7D.3A
60,FSU,Florida State,Ashton Daniels,0,Ashton Daniels,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Auburn | 2025: 2025: 57.1% comp, 797 yds, 3 TD, 2 INT | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
61,GT,Georgia Tech,Alberto Mendoza,0,Alberto Mendoza,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Indiana | 2025: Indiana 2025: 18/24, 286 yds, 5 TD, 1 INT (limited) | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
62,LOU,Louisville,Lincoln Kienholz,0,Lincoln Kienholz,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Ohio State | 2025: OSU 2025: 11/14, 139 yds, 1 TD (backup) | projected transfer QB1 (SI High); little volume experience | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
63,MIA,Miami,Darian Mensah,0,Darian Mensah,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"transfer | prev: Duke | 2025: Duke 2025: 66.8% comp, 3,973 yds, 34 TD, 6 INT; 27 sacks | projected transfer QB1 (SI High) | VALUE PENDING RUBRIC APPROVAL",verified 7A-7D
64,NCST,NC State,CJ Bailey,0,CJ Bailey,0,H,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season)",2026,2026-07-21,"returning starter | 2025: 2025: 68.8% comp, 3,105 yds, 25 TD, 9 INT | returning starter (SI High) | VALUE PENDING RUBRIC APPROVAL",H-coded (tier 2)
