sheet,cell,classification,old,new
QB VALUES,E87,VERIFIED AMERICAN QB UPDATE,Tayven Jackson,Tayven Jackson (slight lead; Ditta / Jimerson competing)
QB VALUES,K87,VERIFIED AMERICAN QB UPDATE,2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L87,VERIFIED AMERICAN QB UPDATE,"transfer | prev: UCF (also Tennessee, Indiana) | 2025: Prior stops: Tennessee, Indiana, UCF | projected transfer QB1 | VALUE PENDING RUBRIC APPROVAL","VERIFIED 2026-08-04: entry CONFIRMED NOT STALE - Tayven Jackson is on North Texas's roster and leads the race. COACHING CHANGE VERIFIED: Eric Morris left for Oklahoma State; NEAL BROWN is North Texas's head coach and rebuilt the roster with 75-90+ new players. HC Neal Brown said on the American Kickoff broadcast (2026-07-29) that senior UCF transfer Tayven Jackson 'NOW HAS A SLIGHT LEAD' in an ongoing THREE-MAN race over sophomore East Carolina transfer Chaston Ditta and sophomore returner Chris Jimerson Jr.; Brown did NOT declare a starter and the battle carries into fall camp. Jackson's 2025 at UCF: 2,151 pass yds, 10 TD, 8 INT, 85 rush yds, 1 rush TD. Clear leader stated by the head coach, no naming -> M retained (not H); entry refined to name the competitors. Zeros retained (correct for M); status OK. RECHECK: official North Texas depth chart."
QB VALUES,E131,VERIFIED SUN BELT QB UPDATE,Open (Weston Bryan / Turner Helton),Max Johnson (leader; Turner Helton competing)
QB VALUES,H131,VERIFIED SUN BELT QB UPDATE,L,M
QB VALUES,K131,VERIFIED SUN BELT QB UPDATE,2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L131,VERIFIED SUN BELT QB UPDATE,"open competition | OPEN COMPETITION — candidates: Weston Bryan (played all 13 games 2025 as run threat); Turner Helton (HC's son) | Baseline QB left blank (starter identity not established) | 2025: Bryan: 7/9, 84 yds, 3 pass TD, 111 rush, 3 rush TD; Helton: 14/26, 74 yds, 1 TD | open competition | VALUE PENDING RUBRIC APPROVAL","STALE ENTRY CORRECTED 2026-08-04: prior entry read 'Open (Weston Bryan / Turner Helton)' and OMITTED MAX JOHNSON ENTIRELY. Johnson signed with Georgia Southern out of the portal on 2026-01-11 from North Carolina (previously LSU 2020-21, Texas A&M 2022-23), and at SUN BELT MEDIA DAYS (2026-07-15) HC CLAY HELTON SAID 'Max Johnson is expected to be the starter if the season began today,' citing experience and high-level production. Turner Helton (2nd year in the program, Western Kentucky transfer, the head coach's son; 14/26, 74 yds, 1 TD in 3 appearances in 2025) is the other player with a shot at the 2026-09-05 opener; both took first-team reps in the spring game. Documented leader per a direct head-coach statement, no official naming -> L upgraded to M (NOT H; parallel to the Oregon State treatment). Per the L->M rule numerical values REMAIN BLANK (valuation unresolved), so status correctly stays UNCERTAIN. OPEN RISK: Johnson's durability - season-ending injuries at Texas A&M in 2022 and 2023 and a broken leg in UNC's 2024 opener. RECHECK: Georgia Southern depth chart before 2026-09-05."
QB VALUES,E137,VERIFIED SUN BELT QB UPDATE,Quinn Henicle,Quinn Henicle (leader; Potter / Huff competing)
QB VALUES,K137,VERIFIED SUN BELT QB UPDATE,2026-07-21 00:00:00,2026-08-04 00:00:00
QB VALUES,L137,VERIFIED SUN BELT QB UPDATE,"backup promotion | 2025: 2 starts (both wins), dual-threat | projected starter | VALUE PENDING RUBRIC APPROVAL","VERIFIED 2026-08-04: Quinn Henicle CONFIRMED as Old Dominion's leader in a genuine three-way competition. The job opened when 2025 starter Colton Joseph transferred to Wisconsin. Henicle (RS-So) started the 2025 Cure Bowl in Joseph's place and was named GAME MVP in a 24-10 win over South Florida (11/25, 127 yds; 24 carries, 107 yds, 2 rush TD; 51-yd TD run); he is 2-0 as a starter. Beat coverage says Henicle 'HAS A LEG UP' and is 'the front runner to land the QB1 role', while also reporting he 'remains enmeshed in a three-way battle' with RS-Jr JAXON POTTER (Washington State transfer, announced 2026-01-13) and RS-Fr Ryan Huff, both getting significant snaps. Henicle himself (2026-04-03): ""I'm competing like I'm trying to earn this job."" HC Ricky Rahne (7th season, off a 10-3 year) has NOT named a starter - ODU's official Sun Belt Media Day release does not address the position. Documented leader backed by on-field production rather than name recognition, no naming -> M retained (not H); entry refined to name the competitors. Zeros retained (correct for M); status OK. RECHECK: official Old Dominion depth chart."
CHANGELOG,A81,VERSION OR CHANGELOG,,v0.7.8
CHANGELOG,B81,VERSION OR CHANGELOG,,2026-08-04
CHANGELOG,C81,VERSION OR CHANGELOG,,"Phase 7D.4A FINAL FIVE QB RESOLUTION: Texas State, Washington State, North Texas, Georgia Southern and Old Dominion resolved by team-specific sourcing. BACKLOG 5 -> 0. THREE CONFIRMED at M with refined entries: Texas State (Brad Jackson, returning 2025 starter, 3,050 pass yds / 18 TD / 71.5%, top-G5 QB per The Athletic, no competition), North Texas (HC Neal Brown on the 2026-07-29 American Kickoff broadcast: Tayven Jackson 'now has a slight lead' in a three-man race with Chaston Ditta and Chris Jimerson Jr.; coaching change from Eric Morris to Neal Brown verified) and Old Dominion (Quinn Henicle, Cure Bowl MVP and 2-0 as a starter, 'has a leg up' in a three-way battle with Jaxon Potter and Ryan Huff)."
CHANGELOG,D81,VERSION OR CHANGELOG,,Final five QB resolution
CHANGELOG,A82,VERSION OR CHANGELOG,,v0.7.8
CHANGELOG,B82,VERSION OR CHANGELOG,,2026-08-04
CHANGELOG,C82,VERSION OR CHANGELOG,,"Phase 7D.4A DEFECTS: (1) WASHINGTON STATE M -> L - prior entry asserted Caden Pinnick as projected QB1, but HeraldNet (2026-07-30) reports a 'wide-open QB competition', The Columbian (2026-08-01) calls the situation 'unresolved', HC Kirby Moore declined to name a preference, and the Spokesman-Review beat reports Pinnick 'wasn't able to create meaningful separation from Eshelman'. Numerical zeros CLEARED to blank. (2) GEORGIA SOUTHERN stale entry L -> M - prior entry read 'Open (Weston Bryan / Turner Helton)' and omitted Max Johnson entirely; HC Clay Helton at Sun Belt Media Days (2026-07-15) said Johnson 'is expected to be the starter if the season began today'. Values remain blank per the L->M rule."
CHANGELOG,D82,VERSION OR CHANGELOG,,Final five QB resolution
CHANGELOG,A83,VERSION OR CHANGELOG,,v0.7.8
CHANGELOG,B83,VERSION OR CHANGELOG,,2026-08-04
CHANGELOG,C83,VERSION OR CHANGELOG,,"Phase 7D.4A RESULT: QB verification backlog = 0. Counts 64 H / 43 M / 31 L (net unchanged - the WSU M->L and GASO L->M changes offset); status 100 OK / 38 UNCERTAIN; blank 38 / zero 100; 0 nonzero QB values; 0 formula changes. Cumulative defect pattern holds: every classification defect found in this project (Akron, Arkansas, UConn, Buffalo, Northern Illinois, Appalachian State, Washington State) was an unsupported M or a named starter the evidence did not support - never a team rated too uncertain."
CHANGELOG,D83,VERSION OR CHANGELOG,,Final five batch result
