abbrev,team,conference,active_qb,status_type,prev_school,confidence,confirmed_level,injury_eligibility,stats_2025,candidates,notes,sources,research_date
MISS,Ole Miss,SEC,Trinidad Chambliss,returning starter,,H,established returning starter (eligibility secured),Received injunction/court ruling granting additional season of eligibility,"2025: 22 pass TD, 3 INT (SEC passing leader)",Trinidad Chambliss (returning),Returning 2025 SEC passing leader; extra eligibility confirmed by ruling.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; CBS Sports SEC QB rankings (https://www.cbssports.com/college-football/news/sec-qb-rankings-2026-season-arch-manning-trinidad-chambliss/, 2026 offseason)",2026-07-21
SCAR,South Carolina,SEC,LaNorris Sellers,returning starter,,H,established returning starter,,"2025: 13 pass TD, 8 INT; OL allowed 42 sacks",LaNorris Sellers (returning),Established returning dual-threat starter.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
TENN,Tennessee,SEC,Faizon Brandon,true freshman / wide-open competition,,L,wide-open competition (sources disagree on favorite),,MacIntyre: 9 career passes; Brandon: incoming (No.3 QB 2026 class),"Faizon Brandon (true Fr, high upside) | George MacIntyre (most system time, 9 career passes) | Ryan Staub (Colorado transfer, veteran)","Most wide-open QB battle in SEC; SI projects Brandon, SDS/Yahoo call MacIntyre favorite; Staub (Colorado) also in mix. Do not treat as decided.","Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; Saturday Down South/Yahoo (favorite MacIntyre) (https://sports.yahoo.com/articles/projected-starting-quarterbacks-sec-2026-210144517.html, 2026 offseason)",2026-07-21
TEX,Texas,SEC,Arch Manning,returning starter,,H,"established returning starter, no competition",,"2025: 26 pass TD, 7 INT (improved mid-season)",Arch Manning (returning),Returning starter; no reported competition.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; CBS Sports SEC QB rankings (https://www.cbssports.com/college-football/news/sec-qb-rankings-2026-season-arch-manning-trinidad-chambliss/, 2026 offseason)",2026-07-21
TAMU,Texas A&M,SEC,Marcel Reed,returning starter,,H,established returning starter,,"2025: 25 pass TD, 12 INT (half INTs in last 4 games)",Marcel Reed (returning),Returning starter.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
VAN,Vanderbilt,SEC,Jared Curtis,true freshman,,L,projected day-1 starter but true freshman (uncertainty),,Curtis: incoming five-star; Berlowitz: backup 2025,Jared Curtis (five-star true Fr) | Blaze Berlowitz (backed Diego Pavia 2025),Five-star freshman expected to start; some uncertainty as a true freshman; Berlowitz is experienced backup.,"Sports Illustrated (https://www.si.com/college-football/projecting-every-sec-starting-quarterback-2026-college-football-season, 2026 offseason) ; Yahoo/SDS (https://sports.yahoo.com/articles/projected-starting-quarterbacks-sec-2026-210144517.html, 2026 offseason)",2026-07-21
ILL,Illinois,Big Ten,Katin Houser,transfer,East Carolina,H,uncontested transfer QB1,,"ECU 2025: 65.9% comp, 3,300 yds, 19 TD, 6 INT, 146.3 rating","Katin Houser (ECU transfer, uncontested QB1)",Transfer from East Carolina; no competition reported.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
IND,Indiana,Big Ten,Josh Hoover,transfer,TCU,H,uncontested transfer QB1,,"TCU 2025: 65.9% comp, 3,472 yds, 29 TD, 13 INT, 153.4 rating","Josh Hoover (TCU transfer, uncontested)",Transfer from TCU; led Big 12 in YPA; INT total to improve.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
IOWA,Iowa,Big Ten,Jeremy Hecklinski,backup promotion / competition,,L,open/uncertain (little experience),,"Hecklinski: 2/2, 8 yds (minimal)","Jeremy Hecklinski (backup promotion, minimal experience) | Hank Brown (Auburn transfer)",Very inexperienced projected starter; Hank Brown (Auburn transfer) competing.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
MD,Maryland,Big Ten,Malik Washington,returning starter,,H,returning starter,,"2025: 57.7% comp, 2,963 yds, 17 TD, 9 INT, 118.4 rating","Malik Washington (returning, started as true Fr 2025)",Returning starter (named as true freshman in 2025).,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
MICH,Michigan,Big Ten,Bryce Underwood,returning starter,,H,returning starter,,"2025: 60.3% comp, 2,428 yds, 11 TD, 9 INT, 126.6 rating","Bryce Underwood (returning, former 5-star)",Returning starter; struggled vs top competition as a freshman.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
MSU,Michigan State,Big Ten,Alessio Milivojevic,backup promotion,,M,projected starter after Chiles transferred out (limited sample),,"2025: 64.2% comp, 1,267 yds, 10 TD, 3 INT, 141.3 rating; took 14 sacks in 4 starts","Alessio Milivojevic (RS Fr, played in Chiles' absence 2025)",Steps in after Aidan Chiles transferred to Northwestern; RS Fr with partial-season sample.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason) ; Inside NU (Chiles transfer confirmation) (https://www.insidenu.com/northwestern-football/58895/breaking-michigan-state-transfer-quarterback-aidan-chiles-commits-to-northwestern-football, 2026-01-06)",2026-07-21
MINN,Minnesota,Big Ten,Drake Lindsey,returning starter,,M,"returning starter, minor uncertainty",Arrested May 2025 (suspected alcohol possession / fake ID) — off-field note,"2025: 63.2% comp, 2,382 yds, 18 TD, 6 INT, 126.9 rating",Drake Lindsey (returning) | Max Shikenjanski (backup),Returning starter; off-field incident noted; Shikenjanski backup.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
NEB,Nebraska,Big Ten,Anthony Colandrea,transfer / open competition,UNLV,L,open competition (sources disagree on favorite),,"Colandrea (UNLV) 2025: 65.9% comp, 3,469 yds, 23 TD, 9 INT, 149.5 rating","Anthony Colandrea (UNLV transfer — SI projects) | TJ Lateef (Yahoo projects) | Daniel Kaelin (Virginia transfer, option)",Genuine competition: SI projects Colandrea; Yahoo lists Lateef as projected with Colandrea/Kaelin as options. Not decided.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason) ; Yahoo Sports (Lateef projection) (https://sports.yahoo.com/articles/ranking-big-tens-projected-qb-130114854.html, 2026 offseason)",2026-07-21
NW,Northwestern,Big Ten,Aidan Chiles,transfer,Michigan State,H,uncontested transfer QB1 (verified),,MSU 2025 starter (dual-threat); turnovers to clean up,"Aidan Chiles (MSU transfer, only FBS-experienced QB on roster)","Verified: committed to Northwestern Jan 6, 2026 from Michigan State; clear starter.","Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason) ; Inside NU (https://www.insidenu.com/northwestern-football/58895/breaking-michigan-state-transfer-quarterback-aidan-chiles-commits-to-northwestern-football, 2026-01-06) ; Northwestern Athletics roster (https://nusports.com/sports/football/roster/aidan-chiles/13274, 2026)",2026-07-21
OHST,Ohio State,Big Ten,Julian Sayin,returning starter,,H,established returning starter,,"2025: 77.0% comp, 3,610 yds, 32 TD, 8 INT, 177.5 rating","Julian Sayin (returning, 2025 Heisman finalist)",Returning starter; 2025 Heisman finalist.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason) ; CBS/On3 (Sayin returning) (https://collegefootballnews.com/college-football/every-power-four-quarterback-situation-2026, 2026 offseason)",2026-07-21
ORE,Oregon,Big Ten,Dante Moore,returning starter,,H,established returning starter,,"2025: 71.8% comp, 3,565 yds, 30 TD, 10 INT, 163.7 rating",Dante Moore (returning; turned down NFL Draft),Returned instead of entering 2026 NFL Draft; clear QB1.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
PSU,Penn State,Big Ten,Rocco Becht,transfer,Iowa State,H,uncontested transfer QB1,,"ISU 2025: 60.5% comp, 2,584 yds, 16 TD, 9 INT, 134.8 rating; 21 sacks","Rocco Becht (Iowa State transfer, followed HC Matt Campbell)",Multi-year Iowa State starter; transferred with HC Matt Campbell.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
PUR,Purdue,Big Ten,Ryan Browne,returning starter,,M,"returning starter, performance uncertainty",,"2025: 58.9% comp, 2,153 yds, 9 TD, 10 INT, 115.3 rating; 2-12 as starter",Ryan Browne (returning),Returning starter but struggling track record.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
RUTG,Rutgers,Big Ten,Dylan Lonergan,transfer / competition,Boston College,L,neck-and-neck competition,,"Lonergan (BC) 2025: 66.9% comp, 2,025 yds, 12 TD, 5 INT, 137.2 rating","Dylan Lonergan (BC transfer) | AJ Surace (competing, little game action)",Competition described as neck-and-neck vs AJ Surace.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
UCLA,UCLA,Big Ten,Nico Iamaleava,returning starter,,H,established returning starter,,"2025: 64.4% comp, 1,928 yds, 13 TD, 7 INT, 123.5 rating",Nico Iamaleava (returning; transferred from Tennessee in 2025),Returning starter (was 2025 UCLA starter after Tennessee).,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
USC,USC,Big Ten,Jayden Maiava,returning starter,,H,returning starter,,"2025: 65.8% comp, 3,711 yds, 24 TD, 10 INT, 157.8 rating",Jayden Maiava (returning),Returning starter.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
WASH,Washington,Big Ten,Demond Williams Jr.,returning starter,,H,returning starter,,"2025: 69.5% comp, 3,065 yds, 25 TD, 8 INT, 161.0 rating; 31 sacks in 13 g",Demond Williams Jr. (returning),Returning starter.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
WISC,Wisconsin,Big Ten,Colton Joseph,transfer,Group of Five (per SI; to confirm),M,projected transfer QB1 (prev school to confirm),,"2025: 59.7% comp, 2,624 yds, 21 TD, 10 INT, 152.7 rating; 1,007 rush yds, 13 rush TD","Colton Joseph (transfer, dual-threat)",Dual-threat transfer; SI lists prior school only as 'Group of 6' — prev school flagged for confirmation.,"Sports Illustrated (Big Ten QB projections) (https://www.si.com/college-football/projecting-every-big-ten-starting-quarterback-ahead-of-2026-season, 2026 offseason)",2026-07-21
ARIZ,Arizona,Big 12,Noah Fifita,returning starter,,H,established returning starter (SI High),,"2025: 64.3% comp, 3,228 yds, 29 TD, 6 INT",Noah Fifita (3-year returning starter),Multi-year established starter.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
AZST,Arizona State,Big 12,Cutter Boley,transfer / competition,Kentucky,M,"projected leader, real competition (SI Medium)",,"Kentucky 2025: 65.8% comp, 2,160 yds, 15 TD, 12 INT",Cutter Boley (Kentucky transfer) | Mikey Keene (Michigan transfer) | Jake Fette (true Fr),Turnovers plagued Boley in SEC; Keene and Fette competing.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
BAY,Baylor,Big 12,DJ Lagway,transfer,Florida,H,projected transfer QB1 (SI High); affiliation verified,,"Florida 2025: 63.2% comp, 2,264 yds, 16 TD, 14 INT (started all 12)",DJ Lagway (Florida transfer; Baylor legacy),Verified: signed with Baylor Jan 2026 after Florida exit; former No.1 QB recruit 2024; decision-making to improve.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason) ; Yahoo Sports (Lagway signs with Baylor) (https://sports.yahoo.com/college-football/breaking-news/article/transfer-portal-florida-qb-dj-lagway-signs-with-baylor-over-a-week-after-first-committing-to-bears-201418898.html, 2026-01) ; CBS Sports (https://www.cbssports.com/college-football/news/dj-lagway-transfer-baylor-florida-qb, 2026-01)",2026-07-21
BYU,BYU,Big 12,Bear Bachmeier,returning starter,,H,returning starter (SI High),,"2025: 64.9% comp, 3,033 yds, 15 TD, 7 INT",Bear Bachmeier (returning; started as true Fr 2025),Returning; rough two-game stretch vs Texas Tech.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
CIN,Cincinnati,Big 12,JC French IV,transfer,Georgia Southern,H,projected transfer QB1 (SI High),,"GSU 2025: 63.8% comp, 2,929 yds, 20 TD, 8 INT; 29 sacks",JC French IV (Georgia Southern transfer),Replaces Brendan Sorsby.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
COLO,Colorado,Big 12,Julian Lewis,backup promotion,,H,"named starter, no competition (SI High); inexperienced",,"2025: 55.3% comp, 589 yds, 4 TD, 0 INT (limited)",Julian Lewis (RS opportunity; promoted after Sanders era),Named QB1; Colorado allowed a Big-12-worst 38 sacks in 2025.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
HOU,Houston,Big 12,Conner Weigman,transfer / competition,Texas A&M,M,"projected leader, freshman pushing (SI Medium)",,"2025: 65.2% comp, 2,705 yds, 25 TD, 9 INT",Conner Weigman (Texas A&M transfer) | Keisean Henderson (No.1 recruit 2026 class),Weigman leads; heralded freshman Henderson in the mix.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
ISU,Iowa State,Big 12,Jaylen Raynor,transfer,Arkansas State,H,projected transfer QB1 (SI High),,"ASU 2025: 66.5% comp, 3,361 yds, 19 TD, 11 INT",Jaylen Raynor (Arkansas State transfer),Replaces Rocco Becht (to Penn State).,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
KAN,Kansas,Big 12,Cole Ballard,backup promotion / open competition,,L,open competition (SI Low),,"Ballard 2025: 10/22, 108 yds, 1 TD, 1 INT (minimal)",Cole Ballard (promoted) | Isaiah Marshall (RS Soph) | Chase Jenkins (Rice transfer),Genuine open competition; replaces Jalon Daniels.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
KSU,Kansas State,Big 12,Avery Johnson,returning starter,,H,returning starter (SI High),,"2025: 59.8% comp, 2,385 yds, 18 TD, 6 INT",Avery Johnson (returning),Returning starter; 2025 seen as a letdown.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
OKST,Oklahoma State,Big 12,Drew Mestemaker,transfer,North Texas,H,projected transfer QB1 (SI High),,"UNT 2025: 68.9% comp, 4,379 yds, 34 TD, 9 INT",Drew Mestemaker (North Texas transfer),Big production at North Texas; step up in competition.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
TCU,TCU,Big 12,Jaden Craig,transfer,Harvard,H,projected transfer QB1 (SI High),,"Harvard 2025: 61.5% comp, 2,869 yds, 25 TD, 7 INT",Jaden Craig (Harvard grad transfer),FCS-to-Big12 jump; replaces Josh Hoover (to Indiana).,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
TTU,Texas Tech,Big 12,Will Hammond,backup promotion,,L,injury-clouded (SI Low),"Hammond torn right ACL, not cleared until ~Aug 21; SI also referenced Brendan Sorsby ruled ineligible (gambling investigation)","Hammond 2025: 63.3% comp, 680 yds, 7 TD, 3 INT","Will Hammond (promoted; torn ACL) | Kirk Francis (Tulsa transfer, fallback)",ACL recovery timeline into fall; Kirk Francis fallback.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
UCF,UCF,Big 12,Alonza Barnett III,transfer,James Madison,H,projected transfer QB1 (SI High),,"JMU 2025: 58.4% comp, 2,806 yds, 23 TD, 8 INT",Alonza Barnett III (James Madison transfer),Sub-60% completion to improve.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
UTAH,Utah,Big 12,Devon Dampier,returning starter,,H,returning starter (SI High),,"2025: 63.5% comp, 2,490 yds, 24 TD, 5 INT",Devon Dampier (returning; New Mexico transfer in 2025),Returning dual-threat starter.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
WVU,West Virginia,Big 12,Michael Hawkins Jr.,transfer / competition,Oklahoma,M,"projected leader, some competition (SI Medium)",,"OU 2025: 15/27, 167 yds, 3 TD, 0 INT (limited)",Michael Hawkins Jr. (Oklahoma transfer) | Scotty Fox Jr.,Limited Oklahoma sample; Scotty Fox Jr. competing.,"Sports Illustrated (Big 12 QB projections) (https://www.si.com/college-football/projecting-every-big-12-starting-quarterback-2026-college-football-season, 2026 offseason)",2026-07-21
BC,Boston College,ACC,Mason McKenzie,transfer,Saginaw Valley State (D-II),H,uncontested transfer QB1 (SI High),,"D-II 2025: 59.8% comp, 2,086 yds, 17 TD, 11 INT (+7 fumbles)","Mason McKenzie (D-II transfer, uncontested)",Big jump from Division II; turnovers a concern.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
CAL,California,ACC,Jaron-Keawe Sagapolutele,returning starter,,H,returning starter (SI High),,"2025: 64.2% comp, 3,454 yds, 18 TD, 9 INT (as true Fr)","Jaron-Keawe Sagapolutele (returning, former 5-star)",Returning; 5th nationally in completions per game.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14) ; ESPN (ACC QB predictions) (https://www.on3.com/news/espn-predicts-2026-starting-qb-for-every-acc-team/, 2026-01-27)",2026-07-21
CLEM,Clemson,ACC,Christopher Vizzina,backup promotion,,H,"promoted QB1, no competition (SI High); big-game inexperience",,"2025: 63.4% comp (71 att), 406 yds, 4 TD, 1 INT; 1 start",Christopher Vizzina (backed up Cade Klubnik),Steps in for departed Cade Klubnik; limited experience.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
DUKE,Duke,ACC,Walker Eget,transfer,San José State,M,projected transfer QB1 (SI Medium),,"SJSU 2025: 59.0% comp, 3,051 yds, 17 TD, 9 INT; 6-12 career",Walker Eget (SJSU transfer) | Dan Mahan (RS Fr backup),Late portal addition after Darian Mensah left for Miami.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
FSU,Florida State,ACC,Ashton Daniels,transfer,Auburn,H,projected transfer QB1 (SI High),,"2025: 57.1% comp, 797 yds, 3 TD, 2 INT",Ashton Daniels (Auburn transfer) | Kevin Sperry (Soph),Third straight portal QB for Norvell; Sperry a candidate.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
GT,Georgia Tech,ACC,Alberto Mendoza,transfer,Indiana,H,projected transfer QB1 (SI High),,"Indiana 2025: 18/24, 286 yds, 5 TD, 1 INT (limited)",Alberto Mendoza (Indiana transfer),Younger brother of 2026 NFL Draft No.1 pick (Fernando Mendoza).,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
LOU,Louisville,ACC,Lincoln Kienholz,transfer,Ohio State,H,projected transfer QB1 (SI High); little volume experience,,"OSU 2025: 11/14, 139 yds, 1 TD (backup)","Lincoln Kienholz (Ohio State transfer, rising senior)",Never attempted more than 17 passes in a game.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
MIA,Miami,ACC,Darian Mensah,transfer,Duke,H,projected transfer QB1 (SI High),,"Duke 2025: 66.8% comp, 3,973 yds, 34 TD, 6 INT; 27 sacks","Darian Mensah (Duke transfer, elite 2025 production)",Led Power Four in passing yards at Duke; in-conference transfer.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14) ; PFF (ACC QB predictions) (https://www.pff.com/news/college-football-predicting-every-acc-teams-next-quarterback-for-the-2026-season, 2026-02-11)",2026-07-21
NCST,NC State,ACC,CJ Bailey,returning starter,,H,returning starter (SI High),,"2025: 68.8% comp, 3,105 yds, 25 TD, 9 INT",CJ Bailey (returning),One of the most accurate QBs in the conference.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
UNC,North Carolina,ACC,Billy Edwards Jr.,transfer,Wisconsin,M,"projected transfer QB1, injury history (SI Medium)",PCL sprain derailed 2025 Wisconsin season,"2025: 7/16, 113 yds (injury-limited)",Billy Edwards Jr. (Wisconsin transfer) | Taron Dickens (Western Carolina transfer),Injury-shortened 2025; Dickens a candidate.,"Sports Illustrated (ACC QB projections, May 14 2026) (https://www.si.com/college-football/projecting-every-acc-starting-quarterback-2026-college-football-season, 2026-05-14)",2026-07-21
