sheet,cell,row,column,column_letter,context,live_value,authoritative_value,expected_action,classification
IMPORT SCHEDULE,D94,94,4,D,401858431 South Dakota State Jackrabbits @ Northwestern Wildcats,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D97,97,4,D,401860879 Portland State Vikings @ San Diego State Aztecs,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D98,98,4,D,401864432 Western Kentucky Hilltoppers @ Nevada Wolf Pack,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D99,99,4,D,401864497 UNLV Rebels @ Hawai'i Rainbow Warriors,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D100,100,4,D,401864498 Central Michigan Chippewas @ New Mexico Lobos,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D101,101,4,D,401866411 Mississippi Valley State Delta Devils @ Sacramento State Hornets,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D102,102,4,D,401869142 Lamar Cardinals @ Louisiana Ragin' Cajuns,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D103,103,4,D,401870790 Mercyhurst Lakers @ New Mexico State Aggies,2026-09-06 00:00:00,2026-09-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D105,105,4,D,401858213 Florida A&M Rattlers @ Miami Hurricanes,2026-09-11 00:00:00,2026-09-10 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D116,116,4,D,401856678 Missouri Tigers @ Kansas Jayhawks,2026-09-12 00:00:00,2026-09-11 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D182,182,4,D,401856670 Arkansas Razorbacks @ Utah Utes,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D183,183,4,D,401856784 Prairie View A&M Panthers @ Baylor Bears,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D184,184,4,D,401856789 Grambling Tigers @ TCU Horned Frogs,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D185,185,4,D,401858445 Louisiana Ragin' Cajuns @ USC Trojans,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D186,186,4,D,401860883 Sacramento State Hornets @ Fresno State Bulldogs,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D187,187,4,D,401864500 Montana State Bobcats @ Nevada Wolf Pack,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D188,188,4,D,401864502 North Dakota State Bison @ Air Force Falcons,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D189,189,4,D,401864505 Texas Southern Tigers @ UTEP Miners,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D190,190,4,D,401864578 New Mexico State Aggies @ Hawai'i Rainbow Warriors,2026-09-13 00:00:00,2026-09-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D212,212,4,D,401856811 Houston Cougars @ Texas Tech Red Raiders,2026-09-19 00:00:00,2026-09-18 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D228,228,4,D,401858455 Portland State Vikings @ Oregon Ducks,2026-09-19 00:00:00,2026-09-18 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D255,255,4,D,401856693 UTSA Roadrunners @ Texas Longhorns,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D256,256,4,D,401856793 Northern Illinois Huskies @ Arizona Wildcats,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D257,257,4,D,401856799 Arkansas State Red Wolves @ TCU Horned Frogs,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D258,258,4,D,401858458 Purdue Boilermakers @ UCLA Bruins,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D259,259,4,D,401860885 South Dakota Coyotes @ Boise State Broncos,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D260,260,4,D,401860886 Montana Grizzlies @ Oregon State Beavers,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D261,261,4,D,401860887 James Madison Dukes @ San Diego State Aztecs,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D262,262,4,D,401860888 Fresno State Bulldogs @ San José State Spartans,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D263,263,4,D,401862775 East Texas A&M Lions @ Tulsa Golden Hurricane,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D264,264,4,D,401862776 UAB Blazers @ Louisiana Ragin' Cajuns,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D265,265,4,D,401864507 North Dakota State Bison @ Sacramento State Hornets,2026-09-20 00:00:00,2026-09-19 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D285,285,4,D,401858234 Clemson Tigers @ California Golden Bears,2026-09-26 00:00:00,2026-09-25 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D294,294,4,D,401858461 Northwestern Wildcats @ Indiana Hoosiers,2026-09-26 00:00:00,2026-09-25 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D333,333,4,D,401856697 Tulsa Golden Hurricane @ Arkansas Razorbacks,2026-09-27 00:00:00,2026-09-26 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D334,334,4,D,401858240 Georgia Tech Yellow Jackets @ Stanford Cardinal,2026-09-27 00:00:00,2026-09-26 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D335,335,4,D,401860891 Rice Owls @ Fresno State Bulldogs,2026-09-27 00:00:00,2026-09-26 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D336,336,4,D,401860895 Oregon State Beavers @ UTEP Miners,2026-09-27 00:00:00,2026-09-26 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D338,338,4,D,401862786 North Texas Mean Green @ Tulsa Golden Hurricane,2026-10-02 00:00:00,2026-10-01 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D339,339,4,D,401871049 Western Kentucky Hilltoppers @ New Mexico State Aggies,2026-10-02 00:00:00,2026-10-01 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D367,367,4,D,401858476 Penn State Nittany Lions @ Northwestern Wildcats,2026-10-03 00:00:00,2026-10-02 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D392,392,4,D,401858477 Indiana Hoosiers @ Rutgers Scarlet Knights,2026-10-04 00:00:00,2026-10-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D393,393,4,D,401860900 Texas State Bobcats @ San Diego State Aztecs,2026-10-04 00:00:00,2026-10-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D394,394,4,D,401860921 Fresno State Bulldogs @ Washington State Cougars,2026-10-04 00:00:00,2026-10-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D395,395,4,D,401864513 San José State Spartans @ Hawai'i Rainbow Warriors,2026-10-04 00:00:00,2026-10-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D398,398,4,D,401871090 Southern Miss Golden Eagles @ Troy Trojans,2026-10-07 00:00:00,2026-10-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D415,415,4,D,401856826 Iowa State Cyclones @ BYU Cougars,2026-10-10 00:00:00,2026-10-09 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D430,430,4,D,401858487 Iowa Hawkeyes @ Washington Huskies,2026-10-10 00:00:00,2026-10-09 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D432,432,4,D,401860922 Washington State Cougars @ Utah State Aggies,2026-10-10 00:00:00,2026-10-09 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D442,442,4,D,401864519 Wyoming Cowboys @ San José State Spartans,2026-10-10 00:00:00,2026-10-09 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D453,453,4,D,401860901 Boise State Broncos @ Fresno State Bulldogs,2026-10-11 00:00:00,2026-10-10 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D455,455,4,D,401871053 Florida International Panthers @ Jacksonville State Gamecocks,2026-10-14 00:00:00,2026-10-13 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D459,459,4,D,401871068 Western Kentucky Hilltoppers @ Sam Houston Bearkats,2026-10-15 00:00:00,2026-10-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D460,460,4,D,401860923 Colorado State Rams @ Texas State Bobcats,2026-10-16 00:00:00,2026-10-15 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D491,491,4,D,401858493 Washington Huskies @ Purdue Boilermakers,2026-10-17 00:00:00,2026-10-16 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D509,509,4,D,401869844 App State Mountaineers @ Coastal Carolina Chanticleers,2026-10-17 00:00:00,2026-10-16 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D514,514,4,D,401860904 Fresno State Bulldogs @ San Diego State Aztecs,2026-10-18 00:00:00,2026-10-17 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D515,515,4,D,401864523 San José State Spartans @ UTEP Miners,2026-10-18 00:00:00,2026-10-17 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D522,522,4,D,401871070 New Mexico State Aggies @ Sam Houston Bearkats,2026-10-22 00:00:00,2026-10-21 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D540,540,4,D,401858272 NC State Wolfpack @ Stanford Cardinal,2026-10-24 00:00:00,2026-10-23 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D554,554,4,D,401862808 Army Black Knights @ Tulsa Golden Hurricane,2026-10-24 00:00:00,2026-10-23 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D558,558,4,D,401864525 Air Force Falcons @ Wyoming Cowboys,2026-10-24 00:00:00,2026-10-23 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D571,571,4,D,401864527 North Dakota State Bison @ New Mexico Lobos,2026-10-25 00:00:00,2026-10-24 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D574,574,4,D,401871072 Sam Houston Bearkats @ Missouri State Bears,2026-10-28 00:00:00,2026-10-27 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D577,577,4,D,401871057 Jacksonville State Gamecocks @ New Mexico State Aggies,2026-10-29 00:00:00,2026-10-28 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D618,618,4,D,401866451 Kent State Golden Flashes @ Sacramento State Hornets,2026-10-31 00:00:00,2026-10-30 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D626,626,4,D,401860908 Texas State Bobcats @ Boise State Broncos,2026-11-01 00:00:00,2026-10-31 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D627,627,4,D,401864530 Northern Illinois Huskies @ UNLV Rebels,2026-11-01 00:00:00,2026-10-31 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D628,628,4,D,401866453 Ohio Bobcats @ Akron Zips,2026-11-04 00:00:00,2026-11-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D629,629,4,D,401866454 Buffalo Bulls @ Miami (OH) RedHawks,2026-11-04 00:00:00,2026-11-03 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D633,633,4,D,401862817 UTSA Roadrunners @ Florida Atlantic Owls,2026-11-06 00:00:00,2026-11-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D634,634,4,D,401869964 James Madison Dukes @ Southern Miss Golden Eagles,2026-11-06 00:00:00,2026-11-05 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D649,649,4,D,401856855 TCU Horned Frogs @ Arizona Wildcats,2026-11-07 00:00:00,2026-11-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D654,654,4,D,401858288 Virginia Tech Hokies @ SMU Mustangs,2026-11-07 00:00:00,2026-11-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D658,658,4,D,401858510 Nebraska Cornhuskers @ Illinois Fighting Illini,2026-11-07 00:00:00,2026-11-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D667,667,4,D,401862818 South Florida Bulls @ East Carolina Pirates,2026-11-07 00:00:00,2026-11-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D673,673,4,D,401864533 New Mexico Lobos @ Nevada Wolf Pack,2026-11-07 00:00:00,2026-11-06 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D685,685,4,D,401858291 Miami Hurricanes @ Notre Dame Fighting Irish,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D686,686,4,D,401860912 Texas State Bobcats @ Oregon State Beavers,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D687,687,4,D,401860913 Fresno State Bulldogs @ Utah State Aggies,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D688,688,4,D,401862823 Air Force Falcons @ Army Black Knights,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D689,689,4,D,401864535 Wyoming Cowboys @ UNLV Rebels,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D690,690,4,D,401871075 Sam Houston Bearkats @ Jacksonville State Gamecocks,2026-11-08 00:00:00,2026-11-07 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D691,691,4,D,401866458 Western Michigan Broncos @ Akron Zips,2026-11-11 00:00:00,2026-11-10 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D692,692,4,D,401866459 Kent State Golden Flashes @ Bowling Green Falcons,2026-11-11 00:00:00,2026-11-10 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D693,693,4,D,401866460 Ohio Bobcats @ Miami (OH) RedHawks,2026-11-11 00:00:00,2026-11-10 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D697,697,4,D,401862824 Memphis Tigers @ South Florida Bulls,2026-11-13 00:00:00,2026-11-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D698,698,4,D,401869969 Louisiana Ragin' Cajuns @ UL Monroe Warhawks,2026-11-13 00:00:00,2026-11-12 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D702,702,4,D,401856860 Houston Cougars @ Colorado Buffaloes,2026-11-14 00:00:00,2026-11-13 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D715,715,4,D,401858293 Florida State Seminoles @ Pittsburgh Panthers,2026-11-14 00:00:00,2026-11-13 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D732,732,4,D,401858526 Illinois Fighting Illini @ UCLA Bruins,2026-11-14 00:00:00,2026-11-13 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D753,753,4,D,401860915 Utah State Aggies @ San Diego State Aztecs,2026-11-15 00:00:00,2026-11-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D754,754,4,D,401860917 Colorado State Rams @ Washington State Cougars,2026-11-15 00:00:00,2026-11-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D755,755,4,D,401864537 North Dakota State Bison @ Hawai'i Rainbow Warriors,2026-11-15 00:00:00,2026-11-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D756,756,4,D,401864538 San José State Spartans @ Air Force Falcons,2026-11-15 00:00:00,2026-11-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D757,757,4,D,401864539 UNLV Rebels @ New Mexico Lobos,2026-11-15 00:00:00,2026-11-14 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
IMPORT SCHEDULE,D758,758,4,D,401866464 Ball State Cardinals @ Ohio Bobcats,2026-11-18 00:00:00,2026-11-17 00:00:00,OVERWRITE with v0.8.8,SCHEDULE DATE
